treatment	x	y	date01	date02	date03	date04	date05	date06	date07	date08	date09	date10	date11	date12	date13
plat	1	1	0	0	0	0	0	0	0	0	1	0	1	NA	1
plat	1	2	0	0	0	0	1	1	1	1	1	1	1	NA	1
plat	1	3	0	0	0	0	1	1	1	1	1	0	2	NA	1
plat	1	4	0	0	0	1	1	1	1	0	1	0	1	NA	1
plat	1	5	0	0	1	0	0	0	1	1	1	1	1	NA	1
plat	1	6	0	1	1	0	1	1	1	1	1	0	1	NA	1
plat	1	7	0	0	1	2	2	3	3	1	3	5	5	NA	NA
plat	1	8	0	1	1	1	1	2	1	1	1	2	2	NA	1
plat	1	9	0	0	0	0	1	1	1	0	1	0	2	NA	1
plat	1	10	0	0	0	0	0	1	1	1	1	1	2	NA	2
plat	1	11	0	0	0	0	0	0	0	0	1	2	2	NA	4
plat	1	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	1	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	2	1	0	1	1	1	1	1	1	1	2	0	2	NA	NA
plat	2	2	0	0	0	0	0	1	0	0	1	1	1	NA	1
plat	2	3	0	1	0	1	1	1	1	1	2	1	2	NA	3
plat	2	4	0	0	0	1	0	1	1	1	1	1	1	NA	1
plat	2	5	0	0	0	1	0	0	0	0	1	1	1	NA	1
plat	2	6	0	0	0	0	1	1	1	1	1	1	1	NA	1
plat	2	7	0	1	1	2	2	3	3	4	5	7	9	NA	1
plat	2	8	0	0	0	0	1	1	1	0	2	1	2	NA	1
plat	2	9	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA
plat	2	10	0	0	0	0	1	0	0	NA	NA	NA	NA	NA	NA
plat	2	11	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
plat	2	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	2	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
plat	3	1	0	0	0	0	1	2	1	NA	2	1	2	NA	2
plat	3	2	1	1	1	1	2	2	2	1	3	3	3	NA	3
plat	3	3	0	0	0	0	1	1	1	1	1	1	1	NA	2
plat	3	4	0	0	0	0	1	0	0	0	1	0	1	NA	1
