treatment	x	y	date01	date02	date03	date04	date05	date06	date07	date08
plat	1	8	0	1	3	3	6	7	9	9
plat	1	7	0	1	1	2	2	3	4	5
plat	1	6	0	1	3	3	3	4	5	6
plat	1	5	0	1	2	3	4	4	5	6
plat	1	4	0	1	3	4	5	5	6	8
plat	1	3	0	1	2	2	3	3	3	5
plat	1	2	1	1	1	2	3	3	3	5
plat	1	1	0	1	1	3	4	5	5	8
plat	2	8	0	1	2	3	4	3	6	8
plat	2	7	0	1	1	2	3	3	6	6
plat	2	6	1	1	1	2	4	5	7	8
plat	2	5	1	1	2	3	4	5	6	7
plat	2	4	1	2	3	5	6	6	8	8
plat	2	3	1	2	3	4	4	4	5	6
plat	2	2	1	1	2	4	5	5	6	7
plat	2	1	0	1	2	2	3	3	5	6
plat	3	8	1	2	3	3	5	5	7	8
plat	3	7	1	1	2	3	4	5	6	8
plat	3	6	0	1	1	2	3	3	5	6
plat	3	5	1	2	3	4	5	5	7	8
plat	3	4	0	1	1	3	4	5	7	8
plat	3	3	0	1	1	2	2	3	6	7
plat	3	2	0	1	2	2	4	5	6	8
plat	3	1	1	1	1	2	2	3	4	6
plat	4	8	1	2	3	3	4	4	7	8
plat	4	7	0	1	3	3	4	5	6	8
plat	4	6	1	1	2	3	5	5	7	9
plat	4	5	1	1	1	2	3	3	4	5
plat	4	4	0	1	2	3	3	4	5	6
plat	4	3	1	1	2	3	2	4	5	6
plat	4	2	1	1	1	2	3	4	4	6
plat	4	1	0	1	2	2	3	5	6	8
plat	5	8	1	2	3	2	4	5	6	7
plat	5	7	1	1	2	2	2	4	4	6
plat	5	6	1	1	3	4	5	5	6	7
plat	5	5	0	1	2	3	3	5	6	7
plat	5	4	0	1	1	3	2	3	5	6
plat	5	3	1	1	2	2	3	4	5	7
plat	5	2	1	1	2	2	3	4	5	7
plat	5	1	1	1	1	1	1	2	3	4
plat	6	8	1	2	3	3	4	4	5	6
plat	6	7	1	2	3	3	4	5	5	7
plat	6	6	1	2	2	2	2	4	5	7
plat	6	5	0	1	2	2	3	3	5	7
plat	6	4	1	1	2	3	4	4	7	8
plat	6	3	1	1	2	2	3	3	5	8
plat	6	2	1	1	2	3	3	3	4	7
plat	6	1	1	1	2	3	3	3	6	6
plat	7	8	0	1	2	3	4	4	4	7
plat	7	7	1	1	3	3	4	4	5	7
plat	7	6	1	1	1	2	2	3	4	5
plat	7	5	0	1	1	1	2	3	4	6
plat	7	4	1	1	1	2	2	2	4	5
plat	7	3	1	1	2	2	2	3	3	5
plat	7	2	0	1	2	2	3	4	6	7
plat	7	1	0	1	2	2	2	3	3	5
plat	8	8	1	1	2	2	5	5	5	8
plat	8	7	0	1	1	2	3	4	5	8
plat	8	6	1	2	2	3	3	4	5	7
plat	8	5	0	1	1	2	3	3	6	6
plat	8	4	0	1	1	2	3	4	6	7
plat	8	3	1	1	1	2	3	4	5	7
plat	8	2	0	1	3	3	4	4	5	7
plat	8	1	0	1	1	2	2	2	3	7
plat	9	8	1	2	3	3	4	4	5	8
plat	9	7	1	1	2	3	4	4	6	8
plat	9	6	1	2	3	3	4	4	6	8
plat	9	5	0	1	1	2	3	2	3	6
plat	9	4	1	2	2	3	6	7	6	8
plat	9	3	0	1	1	3	4	4	5	7
plat	9	2	1	1	2	3	5	5	7	8
plat	9	1	0	2	3	5	5	6	7	8
plat	10	8	1	1	2	2	3	3	6	9
plat	10	7	1	1	2	3	4	4	8	9
plat	10	6	0	1	2	1	2	3	5	7
plat	10	5	0	1	1	2	3	3	6	8
plat	10	4	1	1	1	1	2	2	5	7
plat	10	3	1	2	2	2	3	2	5	8
plat	10	2	0	1	1	1	2	4	5	7
plat	10	1	0	1	2	3	5	5	6	8
plat	11	8	1	1	3	3	5	6	7	8
plat	11	7	1	1	2	3	4	5	6	8
plat	11	6	1	2	3	2	4	5	7	9
plat	11	5	1	1	3	3	5	5	8	9
plat	11	4	1	1	2	3	4	4	7	9
plat	11	3	0	1	1	2	3	3	6	9
plat	11	2	0	1	1	3	4	4	5	7
plat	11	1	1	1	2	2	4	5	5	8
plat	12	8	1	1	2	2	2	4	6	8
plat	12	7	1	1	2	3	4	5	7	8
plat	12	6	1	1	2	3	4	6	6	8
plat	12	5	1	1	1	3	3	5	6	9
plat	12	4	1	1	1	2	3	5	6	7
plat	12	3	1	1	1	1	2	5	5	8
plat	12	2	1	1	2	2	2	4	4	7
plat	12	1	1	1	1	2	2	3	4	6
tuteur	1	8	2	3	5	7	6	8	8	9
tuteur	1	7	1	2	4	6	5	7	8	8
tuteur	1	6	2	3	5	7	7	8	9	9
tuteur	1	5	1	3	4	6	6	7	8	9
tuteur	1	4	1	2	3	6	6	7	8	9
tuteur	1	3	1	2	3	5	5	7	7	9
tuteur	1	2	1	1	2	3	5	6	6	8
tuteur	1	1	1	2	3	3	5	5	6	8
tuteur	2	8	3	4	6	8	8	9	9	9
tuteur	2	7	2	2	5	7	7	7	8	9
tuteur	2	6	3	4	6	7	7	8	8	9
tuteur	2	5	3	4	5	6	8	8	9	9
tuteur	2	4	2	2	4	5	6	6	7	9
tuteur	2	3	1	1	2	3	5	6	6	7
tuteur	2	2	1	1	2	4	5	6	6	9
tuteur	2	1	1	1	2	3	4	4	6	7
tuteur	3	8	1	3	4	6	5	7	8	9
tuteur	3	7	1	2	5	7	7	8	9	9
tuteur	3	6	1	2	4	6	5	6	7	7
tuteur	3	5	2	3	4	5	6	6	7	9
tuteur	3	4	2	3	4	5	6	6	8	9
tuteur	3	3	1	2	3	4	4	6	7	8
tuteur	3	2	1	1	3	5	6	7	9	9
tuteur	3	1	0	1	1	4	4	5	5	7
tuteur	4	8	1	2	5	6	7	7	8	9
tuteur	4	7	1	3	4	6	6	7	8	9
tuteur	4	6	1	2	3	4	6	6	8	9
tuteur	4	5	1	2	2	4	4	6	7	9
tuteur	4	4	2	3	4	6	7	7	9	9
tuteur	4	3	2	2	3	5	5	6	7	9
tuteur	4	2	1	1	2	3	4	5	6	8
tuteur	4	1	1	2	3	5	6	6	7	8
tuteur	5	8	2	4	5	6	7	8	8	9
