"parcelle","plantation","recolte","duree_culture","precedent","jachere","nb_cultivars","Desherbage_man","Desherbage_chim","Desherbage_meca","paillage","tuteurage","apport_amendement","apport_fertl","traitement_phyto","freq_surveillance","propre_semence","achat_autres_prod","propre_semence_et_achat_marche","achat_etranger","propre_semence_et_achat_autres_prod","pluviometrie","altitude","Cultures_mitoyennes_1","Cultures_mitoyennes_2","Cultures_mitoyennes_3","Paysage","YMV","YMMV","Potex","Betaflexi","Ampelo","Maclura","DaMV","CMV"
"Petit_Bourg","Juin","Decembre",6,"igname","non",3,"non","non","oui","non","oui","oui","non","oui","quotidienne","oui","non","non","non","non","moyenne",14,"canne","non","non","Bord_de_route",0,1,0,75,65,0,75,0
"Baillif","Juin","Fevrier",8,"gingembre","non",6,"oui","oui","non","non","oui","oui","oui","oui","quotidienne","non","non","non","non","oui","faible",151,"banane","Manguier","agrumes","Bord_de_route",50,100,0,13,95,0,0,0
"Roujol","Mai","Mars",10,"non","oui",4,"non","non","non","oui","non","oui","non","non","quotidienne","non","non","non","non","oui","importante",29,"banane","agrumes","sorgo","Bord_de_route",0,0,33,60,90,0,8,0
"Moule","septembre","Mars",6,"non","oui",3,"oui","non","non","non","non","oui","non","non","semaine","non","oui","non","non","non","moyenne",34,"banane","Manguier","patate_douce","Bord_de_route",0,100,0,100,0,0,0,0
"Godet","Avril","Janvier",9,"non","oui",4,"non","non","non","oui","non","oui","oui","oui","semaine","oui","non","non","non","non","moyenne",12,"banane","agrumes","non","bande_enherbee",0,90,0,0,0,0,0,0
"Port_Louis","Juin","Decembre",6,"non","oui",4,"non","non","non","oui","non","oui","oui","non","quotidienne","oui","non","non","non","non","moyenne",12,"canne","agrumes","non","savane",0,100,0,80,100,0,0,0
"Morn_a_l_eau","Mai","Novembre",5,"igname","non",2,"non","non","non","oui","non","oui","oui","oui","semaine","oui","non","non","non","non","moyenne",14,"grosseille","poids_d_angole","non","savane",53,93,0,78,95,0,0,0
"Abymes","Mai","Decembre",7,"igname","non",2,"non","non","oui","non","non","oui","oui","oui","quotidienne","oui","non","non","non","non","moyenne",24,"banane","Manguier","non","bande_enherbee",8,50,0,60,93,0,25,0
"Saint_Francois","Juin","Fevrier",8,"manioc","non",3,"non","non","oui","non","non","non","oui","oui","quotidienne","non","non","non","oui","non","moyenne",40,"patate_douce","manioc","non","Bord_de_route",0,38,0,70,3,0,0,0
"Pirogue_Marie_galante","Mai","Janvier",8,"non","oui",2,"non","non","non","oui","oui","oui","non","non","semaine","oui","non","non","non","non","importante",111,"banane","canne","non","Bord_de_route",0,95,0,0,100,0,0,0
"Malonzo","Juin","Janvier",7,"canne","non",3,"oui","non","non","non","non","oui","non","non","quotidienne","non","non","oui","non","non","moyenne",141,"banane","canne","grosseille","Bord_de_route",0,28,0,0,3,0,0,0
"Grand_Bassin","Juin","Decembre",6,"non","oui",4,"non","non","non","oui","non","oui","non","non","quotidienne","non","oui","non","non","non","moyenne",76,"banane","mais","non","Bord_de_route",0,0,0,5,25,40,0,0
