"parcelle","region","duree_culture","precedent","nb_cultivars","desherbage","paillage","tuteurage","apport_amendement","apport_fertl","traitement_phyto","freq_surveillance","propre_semence","achat_autres_prod","propre_semence_et_achat_marche","achat_etranger","propre_semence_et_achat_autres_prod","pluviometrie","altitude","Cultures_mitoyennes_1","Cultures_mitoyennes_2","Cultures_mitoyennes_3","Paysage","YMV","YMMV","Potex","Betaflexi","Ampelo","Maclura","DaMV"
"Petit_Bourg","basse_terre",6,"igname","3_4","oui","non","oui","oui","non","oui","quotidienne","oui","non","non","non","non","moyenne","0_50","canne","non","non","Bord_de_route",0,100,0,75,65,25,75
"Baillif","basse_terre",8,"gingembre","5_6","oui","non","oui","oui","oui","oui","quotidienne","non","non","non","non","oui","faible","100_150","banane","Manguier","agrumes","Bord_de_route",50,100,0,13,95,0,0
"Roujol","basse_terre",10,"jachere","3_4","non","oui","non","oui","non","non","quotidienne","non","non","non","non","oui","importante","0_50","banane","agrumes","sorgo","Bord_de_route",0,0,33,60,90,0,8
"Moule","grande_terre",6,"jachere","3_4","oui","non","non","oui","non","non","semaine","non","oui","non","non","non","moyenne","0_50","banane","Manguier","patate_douce","Bord_de_route",0,100,0,100,0,0,0
"Godet","grande_terre",9,"jachere","3_4","non","oui","non","oui","oui","oui","semaine","oui","non","non","non","non","moyenne","0_50","banane","agrumes","non","bande_enherbee",0,90,0,0,0,0,0
"Port_Louis","grande_terre",6,"jachere","3_4","non","oui","non","oui","oui","non","quotidienne","oui","non","non","non","non","moyenne","0_50","canne","agrumes","non","savane",0,100,0,80,100,0,0
"Morn_a_l_eau","grande_terre",5,"igname","1_2","non","oui","non","oui","oui","oui","semaine","oui","non","non","non","non","moyenne","0_50","grosseille","poids_d_angole","non","savane",53,93,0,78,95,0,0
"Abymes","grande_terre",7,"igname","1_2","oui","non","non","oui","oui","oui","quotidienne","oui","non","non","non","non","moyenne","0_50","banane","Manguier","non","bande_enherbee",8,50,0,60,93,0,25
"Saint_Francois","grande_terre",8,"manioc","3_4","oui","non","non","non","oui","oui","quotidienne","non","non","non","oui","non","moyenne","0_50","patate_douce","manioc","non","Bord_de_route",0,38,0,70,3,0,0
"Pirogue_Marie_galante","marie_galante",8,"jachere","1_2","non","oui","oui","oui","non","non","semaine","oui","non","non","non","non","importante","100_150","banane","canne","non","Bord_de_route",0,95,0,0,100,0,0
"Malonzo","marie_galante",7,"canne","3_4","oui","non","non","oui","non","non","quotidienne","non","non","oui","non","non","moyenne","100_150","banane","canne","grosseille","Bord_de_route",0,28,0,0,3,0,0
"Grand_Bassin","marie_galante",6,"jachere","3_4","non","oui","non","oui","non","non","quotidienne","non","oui","non","non","non","moyenne","50_100","banane","mais","non","Bord_de_route",0,0,0,5,25,40,0
