"parcelle","region","plantation","recolte","duree_culture","precedent","nb_cultivars","desherbage","tuteurage","amendement","apport_fertl","traitement_phyto","freq_surveillance","semences","pluviometrie","altitude","mitoy_canne","mitoy_banane","mitoy_patate","mitoy_groseille","mitoy_manguier","mitoy_agrumes","mitoy_pois_angole","mitoy_manioc","mitoy_mais","mitoy_sorgho","paysage","YMV","YMMV","Potex","Betaflexi","Ampelo","Maclura","DmaV"
"Petit_Bourg","BT","Juin","Decembre",6,"igname",3,"meca","oui","oui","non","oui","quotidienne","interne","moyenne",14,"oui","non","non","non","non","non","non","non","non","non","Bord_de_route",0,1,0,75,65,0,75
"Baillif","BT","Juin","Fevrier",8,"gingembre",6,"manuel","oui","oui","oui","oui","quotidienne","double","faible",151,"non","oui","non","non","oui","oui","non","non","non","non","Bord_de_route",50,100,0,13,95,0,0
"Roujol","BT","Mai","Mars",10,"jachere",4,"paillage","non","oui","non","non","quotidienne","double","importante",29,"non","oui","non","non","non","oui","non","non","non","oui","Bord_de_route",0,0,33,60,90,0,8
"Moule","GT","septembre","Mars",6,"jachere",3,"manuel","non","oui","non","non","semaine","externe","moyenne",34,"non","oui","oui","non","oui","non","non","non","non","non","Bord_de_route",0,100,0,100,0,0,0
"Godet","GT","Avril","Janvier",9,"jachere",4,"paillage","non","oui","oui","oui","semaine","interne","moyenne",12,"non","oui","non","non","non","oui","non","non","non","non","bande_enherbee",0,90,0,0,0,0,0
"Port_Louis","GT","Juin","Decembre",6,"jachere",4,"paillage","non","oui","oui","non","quotidienne","interne","moyenne",12,"oui","non","non","non","non","oui","non","non","non","non","savane",0,100,0,80,100,0,0
"Morne_a_l_eau","GT","Mai","Novembre",5,"igname",2,"paillage","non","oui","oui","oui","semaine","interne","moyenne",14,"non","non","non","oui","non","non","oui","non","non","non","savane",53,93,0,78,95,0,0
"Abymes","GT","Mai","Decembre",7,"igname",2,"meca","non","oui","oui","oui","quotidienne","interne","moyenne",24,"non","oui","non","non","oui","non","non","non","non","non","bande_enherbee",8,50,0,60,93,0,25
"Saint_Francois","GT","Juin","Fevrier",8,"manioc",3,"meca","non","non","oui","oui","quotidienne","externe","moyenne",40,"oui","non","oui","non","non","oui","non","oui","non","non","Bord_de_route",0,38,0,70,3,0,0
"Pirogue","MG","Mai","Janvier",8,"jachere",2,"paillage","oui","oui","non","non","semaine","interne","importante",111,"oui","oui","non","non","non","non","non","non","non","non","Bord_de_route",0,95,0,0,100,0,0
"Malonzo","MG","Juin","Janvier",7,"canne",3,"manuel","non","oui","non","non","quotidienne","double","moyenne",141,"non","oui","non","oui","non","non","non","non","non","non","Bord_de_route",0,28,0,0,3,0,0
"Grand_Bassin","MG","Juin","Decembre",6,"jachere",4,"paillage","non","oui","non","non","quotidienne","externe","moyenne",76,"non","oui","non","non","non","non","non","non","oui","non","Bord_de_route",0,0,0,5,25,40,0
