cat	rep	spores	total	ratio	cat10	cat20	cat30	cat40	cat50	cat60	cat70	cat80	cat90	cat100
10	1	122	315.3166667	0.386912628	1	0	0	0	0	0	0	0	0	0
10	2	191.4	432.4916667	0.44255188	1	0	0	0	0	0	0	0	0	0
10	3	53.2	409.3777778	0.129953317	1	0	0	0	0	0	0	0	0	0
10	4	1776.5	8257.1	0.215148176	1	0	0	0	0	0	0	0	0	0
10	5	56	577.7	0.096936126	1	0	0	0	0	0	0	0	0	0
20	1	123.2	315.3166667	0.390718325	1	1	0	0	0	0	0	0	0	0
20	2	92.4	432.4916667	0.213645735	1	1	0	0	0	0	0	0	0	0
20	3	115	409.3777778	0.280914124	1	1	0	0	0	0	0	0	0	0
20	4	2263	8257.1	0.274067166	1	1	0	0	0	0	0	0	0	0
20	5	275.4	577.7	0.47671802	1	1	0	0	0	0	0	0	0	0
30	1	12.25	315.3166667	0.038849834	1	1	1	0	0	0	0	0	0	0
30	2	46.8	432.4916667	0.108210177	1	1	1	0	0	0	0	0	0	0
30	3	31.2	409.3777778	0.076213223	1	1	1	0	0	0	0	0	0	0
30	4	1103.6	8257.1	0.133654673	1	1	1	0	0	0	0	0	0	0
30	5	27.2	577.7	0.047083261	1	1	1	0	0	0	0	0	0	0
40	1	11.66666667	315.3166667	0.036999841	1	1	1	1	0	0	0	0	0	0
40	2	33	432.4916667	0.076302048	1	1	1	1	0	0	0	0	0	0
40	3	34	409.3777778	0.083052872	1	1	1	1	0	0	0	0	0	0
40	4	1710.8	8257.1	0.207191387	1	1	1	1	0	0	0	0	0	0
40	5	43.4	577.7	0.075125498	1	1	1	1	0	0	0	0	0	0
50	1	5	315.3166667	0.015857075	1	1	1	1	1	0	0	0	0	0
50	2	10.4	432.4916667	0.024046706	1	1	1	1	1	0	0	0	0	0
50	3	24	409.3777778	0.058625556	1	1	1	1	1	0	0	0	0	0
50	4	124.2	8257.1	0.015041601	1	1	1	1	1	0	0	0	0	0
50	5	54.6	577.7	0.094512723	1	1	1	1	1	0	0	0	0	0
60	1	19.2	315.3166667	0.060891168	1	1	1	1	1	1	0	0	0	0
60	2	25.2	432.4916667	0.058267019	1	1	1	1	1	1	0	0	0	0
60	3	17.77777778	409.3777778	0.043426338	1	1	1	1	1	1	0	0	0	0
60	4	118.8	8257.1	0.014387618	1	1	1	1	1	1	0	0	0	0
60	5	28.9	577.7	0.050025965	1	1	1	1	1	1	0	0	0	0
70	1	8	315.3166667	0.02537132	1	1	1	1	1	1	1	0	0	0
70	2	8.166666667	432.4916667	0.01888283	1	1	1	1	1	1	1	0	0	0
70	3	30.8	409.3777778	0.075236131	1	1	1	1	1	1	1	0	0	0
70	4	125.4	8257.1	0.01518693	1	1	1	1	1	1	1	0	0	0
70	5	26	577.7	0.045006059	1	1	1	1	1	1	1	0	0	0
80	1	9	315.3166667	0.028542735	1	1	1	1	1	1	1	1	0	0
80	2	9	432.4916667	0.02080965	1	1	1	1	1	1	1	1	0	0
80	3	43.4	409.3777778	0.106014548	1	1	1	1	1	1	1	1	0	0
80	4	81	8257.1	0.009809739	1	1	1	1	1	1	1	1	0	0
80	5	28.5	577.7	0.049333564	1	1	1	1	1	1	1	1	0	0
90	1	3	315.3166667	0.009514245	1	1	1	1	1	1	1	1	1	0
90	2	9.375	432.4916667	0.021676718	1	1	1	1	1	1	1	1	1	0
90	3	31.2	409.3777778	0.076213223	1	1	1	1	1	1	1	1	1	0
90	4	281.2	8257.1	0.03405554	1	1	1	1	1	1	1	1	1	0
90	5	20.8	577.7	0.036004847	1	1	1	1	1	1	1	1	1	0
100	1	2	315.3166667	0.00634283	1	1	1	1	1	1	1	1	1	1
100	2	6.75	432.4916667	0.015607237	1	1	1	1	1	1	1	1	1	1
100	3	28.8	409.3777778	0.070350668	1	1	1	1	1	1	1	1	1	1
100	4	672.6	8257.1	0.08145717	1	1	1	1	1	1	1	1	1	1
100	5	16.9	577.7	0.029253938	1	1	1	1	1	1	1	1	1	1
