run	distance	axis	spores	slide
1	10	A	6967	L5
1	10	B	8618	L4
1	20	A	4280	L6
1	20	B	4260	L3
1	30	A	1700	L7
1	30	B	1932	L2
1	40	A	2368	L8
1	40	B	231	L1
2	10	A	9378	L5
2	10	B	4909	L4
2	20	A	1297	L6
2	20	B	2649	L3
2	30	A	489	L7
2	30	B	725	L2
2	40	A	11	L8
2	40	B	26	L1
3	10	A	4206	L5
3	10	B	12768	L4
3	20	A	3243	L6
3	20	B	646	L3
3	30	A	188	L7
3	30	B	394	L2
3	40	A	57	L8
3	40	B	145	L1
4	10	A	14580	L5
4	10	B	9434	L4
4	20	A	4102	L6
4	20	B	3150	L3
4	30	A	1475	L7
4	30	B	676	L2
4	40	A	467	L8
4	40	B	139	L1
5	10	A	10165	L5
5	10	B	12221	L4
5	20	A	1056	L6
5	20	B	2050	L3
5	30	A	137	L7
5	30	B	286	L2
5	40	A	11	L8
5	40	B	232	L1
6	10	A	5804	L5
6	10	B	11187	L4
6	20	A	981	L6
6	20	B	881	L3
6	30	A	666	L7
6	30	B	301	L2
6	40	A	171	L8
6	40	B	98	L1
7	10	A	6727	L5
7	10	B	3835	L4
7	20	A	2405	L6
7	20	B	807	L3
7	30	A	539	L7
7	30	B	642	L2
7	40	A	4	L8
7	40	B	33	L1
8	10	A	17131	L5
8	10	B	18288	L4
8	20	A	2624	L6
8	20	B	4079	L3
8	30	A	1089	L7
8	30	B	1717	L2
8	40	A	330	L8
8	40	B	869	L1
9	10	A	19307	L5
9	10	B	16875	L4
9	20	A	139	L6
9	20	B	1849	L3
9	30	A	869	L7
9	30	B	2126	L2
9	40	A	526	L8
9	40	B	514	L1
10	10	A	2817	L5
10	10	B	3853	L4
10	20	A	2321	L6
10	20	B	1202	L3
10	30	A	169	L7
10	30	B	516	L2
10	40	A	7	L8
10	40	B	78	L1
