# @source="réseau Sentinelles, INSERM, Sorbonne Université, http://www.sentiweb.fr", @meta={"period":[199049,201842],"geo":["PAY","1"],"geo_ref":"insee","indicator":"7","type":"all","conf_int":true,"compact":false}, @date=2018-10-29T17:16:15+01:00
week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
201842,7,4631,2475,6787,7,4,10,FR,France
201841,7,2956,1207,4705,4,1,7,FR,France
201840,7,3858,1827,5889,6,3,9,FR,France
201839,7,2584,870,4298,4,1,7,FR,France
201838,7,2401,761,4041,4,2,6,FR,France
201837,7,1891,501,3281,3,1,5,FR,France
201836,7,559,0,1335,1,0,2,FR,France
201835,7,872,0,1916,1,0,3,FR,France
201834,7,3736,1415,6057,6,2,10,FR,France
201833,7,3803,1130,6476,6,2,10,FR,France
201832,7,3225,1155,5295,5,2,8,FR,France
201831,7,6610,3565,9655,10,5,15,FR,France
201830,7,9338,5780,12896,14,9,19,FR,France
201829,7,8513,5059,11967,13,8,18,FR,France
201828,7,12115,7907,16323,18,12,24,FR,France
201827,7,13986,9745,18227,21,15,27,FR,France
201826,7,15317,11019,19615,23,16,30,FR,France
201825,7,11282,7840,14724,17,12,22,FR,France
201824,7,16554,12219,20889,25,18,32,FR,France
201823,7,9511,6385,12637,14,9,19,FR,France
201822,7,15972,11793,20151,24,18,30,FR,France
201821,7,10909,7627,14191,17,12,22,FR,France
201820,7,13417,9692,17142,20,14,26,FR,France
201819,7,16718,12351,21085,25,18,32,FR,France
201818,7,16120,11128,21112,25,17,33,FR,France
201817,7,16154,11960,20348,25,19,31,FR,France
201816,7,18341,13836,22846,28,21,35,FR,France
201815,7,17946,13622,22270,27,20,34,FR,France
201814,7,15036,10780,19292,23,17,29,FR,France
201813,7,16373,12472,20274,25,19,31,FR,France
201812,7,18819,14373,23265,29,22,36,FR,France
201811,7,15478,11427,19529,24,18,30,FR,France
201810,7,15753,11901,19605,24,18,30,FR,France
201809,7,13217,9653,16781,20,15,25,FR,France
201808,7,13390,9832,16948,20,15,25,FR,France
201807,7,13453,10096,16810,20,15,25,FR,France
201806,7,15491,11679,19303,24,18,30,FR,France
201805,7,15078,11374,18782,23,17,29,FR,France
201804,7,14562,10973,18151,22,17,27,FR,France
201803,7,7972,5473,10471,12,8,16,FR,France
201802,7,10976,7974,13978,17,12,22,FR,France
201801,7,11471,8430,14512,17,12,22,FR,France
201752,7,11120,7732,14508,17,12,22,FR,France
201751,7,8055,5279,10831,12,8,16,FR,France
201750,7,10095,7184,13006,15,11,19,FR,France
201749,7,11214,8103,14325,17,12,22,FR,France
201748,7,8686,5706,11666,13,8,18,FR,France
201747,7,8741,5969,11513,13,9,17,FR,France
201746,7,5708,3483,7933,9,6,12,FR,France
201745,7,4902,2777,7027,8,5,11,FR,France
201744,7,5645,3125,8165,9,5,13,FR,France
201743,7,6892,3966,9818,11,7,15,FR,France
201742,7,4490,2218,6762,7,4,10,FR,France
201741,7,2516,1110,3922,4,2,6,FR,France
201740,7,4902,2504,7300,8,4,12,FR,France
201739,7,2901,917,4885,4,1,7,FR,France
201738,7,2138,736,3540,3,1,5,FR,France
201737,7,2360,700,4020,4,1,7,FR,France
201736,7,1903,450,3356,3,1,5,FR,France
201735,7,3419,1409,5429,5,2,8,FR,France
201734,7,3886,1559,6213,6,2,10,FR,France
201733,7,3133,829,5437,5,1,9,FR,France
201732,7,4194,1599,6789,6,2,10,FR,France
201731,7,7130,3572,10688,11,6,16,FR,France
201730,7,7368,3708,11028,11,5,17,FR,France
201729,7,15320,10560,20080,24,17,31,FR,France
201728,7,14764,9589,19939,23,15,31,FR,France
201727,7,12000,7980,16020,18,12,24,FR,France
201726,7,11914,8364,15464,18,13,23,FR,France
201725,7,16264,12303,20225,25,19,31,FR,France
201724,7,16473,12221,20725,25,18,32,FR,France
201723,7,15607,11196,20018,24,17,31,FR,France
201722,7,19102,14187,24017,29,21,37,FR,France
201721,7,21160,15647,26673,32,24,40,FR,France
201720,7,19412,14439,24385,30,22,38,FR,France
201719,7,20724,15468,25980,32,24,40,FR,France
201718,7,14497,10154,18840,22,15,29,FR,France
201717,7,17548,12284,22812,27,19,35,FR,France
201716,7,14963,10491,19435,23,16,30,FR,France
201715,7,16400,11762,21038,25,18,32,FR,France
201714,7,18892,13332,24452,29,20,38,FR,France
201713,7,21702,16488,26916,33,25,41,FR,France
201712,7,18534,14161,22907,28,21,35,FR,France
201711,7,18361,12709,24013,28,19,37,FR,France
