Id_data;Id_site;Etat;biotope;Id_method;Id_ecoute;Regne;Famille;Genre;Espece;Nom_sc;Nom_co;Taxonomic_order;Count;Index
INSULAAV1;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Columbidae;Geotrygon;mystacea;Geotrygon mystacea;Colombe à  croissants;2250;1;AV_001
INSULAAV2;B0VB;nndegrade;FM;p2;B0VBp2;Animalia;Columbidae;Geotrygon;mystacea;Geotrygon mystacea;Colombe à  croissants;2250;1;AV_002
INSULAAV3;B0VB;nndegrade;FM;p3;B0VBp3;Animalia;Columbidae;Geotrygon;mystacea;Geotrygon mystacea;Colombe à  croissants;2250;1;AV_003
INSULAAV4;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Trochilidae;Orthorhyncus;cristatus;Orthorhyncus cristatus;Colibri huppé;4755;2;AV_001
INSULAAV5;B0VB;nndegrade;FM;p3;B0VBp3;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1;AV_003
INSULAAV6;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;4;AV_001
INSULAAV7;B0VB;nndegrade;FM;p2;B0VBp2;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;3;AV_002
INSULAAV8;B0VB;nndegrade;FM;p3;B0VBp3;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;4;AV_003
INSULAAV9;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1;AV_001
INSULAAV10;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;1;AV_001
INSULAAV11;B0VB;nndegrade;FM;p2;B0VBp2;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;2;AV_002
INSULAAV12;B0VB;nndegrade;FM;p3;B0VBp3;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;1;AV_003
INSULAAV13;B0VB;nndegrade;FM;p3;B0VBp3;Animalia;Mimidae;Allenia;fusca;Allenia fusca;Moqueur grivotte;26916;1;AV_003
INSULAAV14;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Mimidae;Cinclocerthia;ruficauda;Cinclocerthia ruficauda;Trembleur brun;26928;2;AV_001
INSULAAV15;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Turdidae;Turdus;nudigenis;Turdus nudigenis;Merle à  lunettes;27419;1;AV_001
INSULAAV16;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Turdidae;Turdus;lherminieri;Turdus lherminieri;Grive à  pieds jaunes;27450;1;AV_001
INSULAAV17;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;2;AV_001
INSULAAV18;B0VB;nndegrade;FM;p2;B0VBp2;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;1;AV_002
INSULAAV19;B0VB;nndegrade;FM;p3;B0VBp3;Animalia;Parulidae;Setophaga;plumbea;Setophaga plumbea;Paruline caféiette;32769;1;AV_003
INSULAAV20;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;2;AV_001
INSULAAV21;B0VB;nndegrade;FM;p2;B0VBp2;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;2;AV_002
INSULAAV22;B0VB;nndegrade;FM;p3;B0VBp3;Animalia;Parulidae;Setophaga;petechia;Setophaga petechia;Paruline jaune;32798;2;AV_003
INSULAAV23;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1;AV_001
INSULAAV24;B0VB;nndegrade;FM;p2;B0VBp2;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;1;AV_002
INSULAAV25;B0VB;nndegrade;FM;p3;B0VBp3;Animalia;Thraupidae;Coereba;flaveola;Coereba flaveola;Sucrier à  ventre jaune;34294;2;AV_003
INSULAAV26;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1;AV_001
INSULAAV27;B0VB;nndegrade;FM;p2;B0VBp2;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1;AV_002
INSULAAV28;B0VB;nndegrade;FM;p3;B0VBp3;Animalia;Thraupidae;Loxigilla;noctis;Loxigilla noctis;Sporophile rouge-gorge;34361;1;AV_003
INSULAAV29;B0VB;nndegrade;FM;p1;B0VBp1;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;2;AV_001
INSULAAV30;B0VB;nndegrade;FM;p2;B0VBp2;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;2;AV_002
INSULAAV31;B0VB;nndegrade;FM;p3;B0VBp3;Animalia;Thraupidae;Saltator;albicollis;Saltator albicollis;Saltator gros-bec;34479;1;AV_003
INSULAAV32;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1;AV_004
INSULAAV33;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1;AV_005
INSULAAV34;B0BA;nndegrade;FM;p3;B0BAp3;Animalia;Columbidae;Zenaida;aurita;Zenaida aurita;Tourterelle à  queue carrée;2320;1;AV_006
INSULAAV35;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Trochilidae;Orthorhyncus;cristatus;Orthorhyncus cristatus;Colibri huppé;4755;1;AV_004
INSULAAV36;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Trochilidae;Orthorhyncus;cristatus;Orthorhyncus cristatus;Colibri huppé;4755;1;AV_005
INSULAAV37;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1;AV_004
INSULAAV38;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Ardeidae;Butorides;virescens;Butorides virescens;Héron vert;7183;1;AV_005
INSULAAV39;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1;AV_004
INSULAAV40;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Picidae;Melanerpes;herminieri;Melanerpes herminieri;Pic de Guadeloupe;10565;1;AV_005
INSULAAV41;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;5;AV_004
INSULAAV42;B0BA;nndegrade;FM;p2;B0BAp2;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;5;AV_005
INSULAAV43;B0BA;nndegrade;FM;p3;B0BAp3;Animalia;Tyrannidae;Elaenia;martinica;Elaenia martinica;Elénie siffleuse;15958;5;AV_006
INSULAAV44;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1;AV_004
INSULAAV45;B0BA;nndegrade;FM;p3;B0BAp3;Animalia;Tyrannidae;Contopus;latirostris;Contopus latirostris;Moucherolle gobemouche;16158;1;AV_006
INSULAAV46;B0BA;nndegrade;FM;p1;B0BAp1;Animalia;Vireonidae;Vireo;altiloquus;Vireo altiloquus;Viréo à  moustaches;18439;3;AV_004
