Id_data;Id_Site;Etat;Biotope;Regne;Famille;Genre;Espece;Nom_sc;Poids_individu_g;Taille_corps_cm;Taille_queue_cm;Observation;Index;;;;;;;;;;;;Count
INSULAMI1;C0BI;nndegrade;M;Animalia;Muridae;Rattus;rattus ;Rattus rattus ;186;19;23;;MI_001;;;;;;;;;;;;
INSULAMI2;C0BC;nndegrade;M;Animalia;Muridae;Rattus;rattus ;Rattus rattus ;;;;;MI_002;;;;;;;;;;;;
INSULAMI3;C0BC;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;;;;;MI_002;;;;;;;;;;;;
INSULAMI4;C0BC;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;115;15;19;;MI_002;;;;;;;;;;;;
INSULAMI5;C0BC;nndegrade;M;Animalia;Muridae;Rattus;rattus;Rattus rattus;144;17;20;;MI_002;;;;;;;;;;;;
INSULAMI6;A1CH;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;;;;Mort;MI_003;;;;;;;;;;;;
INSULAMI7;A1CH;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;;;;Mort;MI_003;;;;;;;;;;;;
INSULAMI8;A1CH;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;;;;Mort;MI_003;;;;;;;;;;;;
INSULAMI9;A1CH;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;119;17;19;;MI_003;;;;;;;;;;;;
INSULAMI10;A0CH;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;144;18;18;;MI_004;;;;;;;;;;;;
INSULAMI11;A0SO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;169;18;20;;MI_005;;;;;;;;;;;;
INSULAMI12;A0SO;nndegrade;FTF;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;156;20;15;;MI_005;;;;;;;;;;;;
INSULAMI13;A1SO;degrade;FTF;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;95;17;15;;MI_006;;;;;;;;;;;;
INSULAMI14;A1SO;degrade;FTF;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;145;18;16;;MI_006;;;;;;;;;;;;
INSULAMI15;A0SO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;167;19;21;;MI_005;;;;;;;;;;;;
INSULAMI16;A0SO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;107;17;19;;MI_005;;;;;;;;;;;;
INSULAMI17;A0SO;nndegrade;FTF;Animalia;Herpestidae;Javanicus;auropunctatus;Javanicus auropunctatus;;;;;MI_005;;;;;;;;;;;;
INSULAMI18;A1SO;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;167;20;22;;MI_006;;;;;;;;;;;;
INSULAMI19;A1SO;degrade;FTF;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;140;19;14;;MI_006;;;;;;;;;;;;
INSULAMI20;A1SO;degrade;FTF;Animalia;Herpestidae;Javanicus;auropunctatus;Javanicus auropunctatus;;;;;MI_006;;;;;;;;;;;;
INSULAMI21;A0ME;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;116;18;21;;MI_007;;;;;;;;;;;;
INSULAMI22;A0ME;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;;;;Mort;MI_007;;;;;;;;;;;;
INSULAMI23;A1TR;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;147;18;21;;MI_008;;;;;;;;;;;;
INSULAMI24;A1TR;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;155;17;21,5;;MI_008;;;;;;;;;;;;
INSULAMI25;A1TR;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;203;18;15;Queue coupee / doute sur l'espece;MI_008;;;;;;;;;;;;
INSULAMI26;A1TR;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;209;21;18;Queue coupee / doute sur l'espece;MI_008;;;;;;;;;;;;
INSULAMI27;A1TR;degrade;FTF;Animalia;Herpestidae;Javanicus;auropunctatus;Javanicus auropunctatus;;;;;MI_008;;;;;;;;;;;;
INSULAMI28;A0TR;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;98;15;19;;MI_009;;;;;;;;;;;;
INSULAMI29;A0TR;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;145;19;21;;MI_009;;;;;;;;;;;;
INSULAMI30;A0TR;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;118;16;20;;MI_009;;;;;;;;;;;;
INSULAMI31;A0TR;nndegrade;FTF;Animalia;Herpestidae;Javanicus;auropunctatus;Javanicus auropunctatus;;;;;MI_009;;;;;;;;;;;;
INSULAMI32;A1TR;degrade;FTF;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;196;22;20;;MI_008;;;;;;;;;;;;
INSULAMI33;A0TA;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;133;16;20;;MI_010;;;;;;;;;;;;
INSULAMI34;A0TA;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;93;18;20,5;;MI_010;;;;;;;;;;;;
INSULAMI35;A0TA;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;117;16,5;21,5;;MI_010;;;;;;;;;;;;
INSULAMI36;A1TA;degrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;126;18;19,5;;MI_011;;;;;;;;;;;;
INSULAMI37;A1TA;degrade;FTF;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;182;19;15;;MI_011;;;;;;;;;;;;
INSULAMI38;A1TA;degrade;FTF;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;206;23;20;;MI_011;;;;;;;;;;;;
INSULAMI39;A1TA;degrade;FTF;Animalia;Muridae;Rattus;norvegicus;Rattus norvegicus;155;21;20;;MI_011;;;;;;;;;;;;
INSULAMI40;A1TA;degrade;FTF;Animalia;Herpestidae;Javanicus;auropunctatus;Javanicus auropunctatus;;;;;MI_011;;;;;;;;;;;;
INSULAMI41;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;98;17;20,5;;MI_012;;;;;;;;;;;;
INSULAMI42;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;124;17,5;21;;MI_012;;;;;;;;;;;;
INSULAMI43;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;145;18;20,5;;MI_012;;;;;;;;;;;;
INSULAMI44;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;116;17,5;20,5;;MI_012;;;;;;;;;;;;
INSULAMI45;A0MO;nndegrade;FTF;Animalia;Muridae;Rattus;rattus;Rattus rattus;124;17;20,5;;MI_012;;;;;;;;;;;;
