ISO_A3,Country_Name,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,X106,X107,X108,X109,X110
ABW,Aruba,105845,73.6,78.5,17.8,68.6,588,9.1,1.9,56.6,75.2,70.8,NA,NA,1004,NA,274280,32323,NA,2700558659.21788,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,2.3,18.9,43.4,10.8,NA,8.4,NA,11.6,NA,NA,NA,NA,6.2,NA,NA,NA,NA,100,75.2,NA,NA,39.3,0.496,NA,6. Developing region,2. High income: nonOECD,North America,Americas,Caribbean,Latin America & Caribbean,-69.9849364343424,12.5270449895001,30.2000061035156,28.9500061035156,30.2000061035156,29.6799865722656,29.7575012207031,106766,100,2,79,936.627765393477,18.7325553078695,739.935934660847,0.132289176431723,102.281886074165,18349.2164028529,4.8744800982501e-56,8.25577691916492e-110,0,1,24,16.3715531534953,2.0000000071728,18366.9776128193,2.43087376927186e-119,0,0,0,98,0.107608434397825,92.6410857914801,18365.9397243316,1.60589576091143e-28,4.23478233005474e-45,0,1,16,2020-03-13,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,Afghanistan,37172386,63,66,43.1,54.3,56.9,6.4,4.5,74.5,45.3,5.9,4.9,19.4,-314602,2681269,1722612.6,NA,1970,19362969582.3643,NA,NA,NA,48.9,42.8,28.9,NA,111.7,1,58.1,2.1,0.1,25.5,25.2,1413,0.3,100,9.2,29.8,62.3,0.28,0.5,4.2,102.2,84.4,0.6,37.1,97.7,3.1,96,4.5,18.9,0.791,NA,7. Least developed region,5. Low income,Asia,Asia,Southern Asia,South Asia,65.1778358423138,33.9328265380001,-3.57001342773435,-11.2800048828125,-5.17999877929685,-1.79001464843748,-5.45500793457029,38928341,2171,64,260,55.7691374518118,1.64404642879593,6.67893861698345,0.017732072703528,57956.3118727563,18450.0431076669,5.43842815915681e-17,0.015889282069999,1.02320338409792e-209,1,44,0.03498587511738,249.176480414133,18391.0758143688,1.15214346343001e-28,1.49334684609949e-11,2.15377975820646e-270,1,10,0.085902926476344,434.983170163825,18374.2610307042,4.82712540638357e-22,3.00913375718375e-20,3.40858897e-315,1,37,2020-02-24,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,30809762,58.1,63.7,46.8,51,24.7,8.2,5.5,34.5,23.3,29,25.6,0.2,32066,8253,1516628,778000,6170,105750987618.63,NA,NA,NA,77.5,50.4,96.5,NA,30.1,1.8,47.5,46.3,7,65.5,NA,5493,1.3,100,4.5,16.5,77.2,0.21,NA,NA,NA,NA,NA,23.2,41.9,1.3,106,6.8,15.9,0.759,60,7. Least developed region,3. Upper middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa,18.8636416277907,-11.9314917949999,25.7499938964844,25.3699890136719,25.3099914550781,25.8799987792969,25.5774932861328,32866268,27,2,7,0.821510978976986,0.060852665109406,0.212984327882922,0.092326563580227,29.0942916622366,18354.7585135027,2.5826108210279802e-33,3.73882629219229e-63,0,1,28,37.737432012606,2,18349.0952133156,4.56202298557643e-111,0,0,1,47,0.126873985494759,7.07862702506518,18360.0557952028,2.13699654862233e-26,2.8847409177956e-58,0,1,28,2020-03-20,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
AIA,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,0.857,NA,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean,-63.0429704502504,18.2239037130001,27.6299987792969,26.85,27.110009765625,26.5700012207031,27.0400024414063,15002,3,0,3,199.973336888415,0,199.973336888415,0.497876124587441,2.99704094195023,18348.8797123624,1.21679079123256e-19,6.22244595458785e-103,0,1,28,0.099999998746877,3.27995050282241e-13,18350.0000000863,0.140571932114336,6.76590441426051e-5,1.18844362977857e-257,1,2,0.008552021636697,2911884.75291285,18688.4475350284,0.638704144793197,0.974397349654138,6.47287135139841e-37,0,97,2020-03-28,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,Albania,2866376,76.8,80.2,17.7,68.6,104.6,7.9,1.6,39.7,46.6,31.6,11.1,2.3,-69998,13518,303137,NA,13350,15102500898.238,NA,38,33.2,55.7,36.7,72.3,NA,180.4,1.2,43.1,28.1,17.7,60.3,NA,9311,2,100,9,17,8.8,1.2,2.9,4,107,102,1,96.9,100,48.2,127,22.3,32.9,0.574,NA,6. Developing region,4. Lower middle income,Europe,Europe,Southern Europe,Europe & Central Asia,20.0064944925175,41.1456391430001,3.6199890136719,1.67998657226565,3.90999755859377,5.3799987792969,3.64749298095705,2877800,773,31,470,268.607964417263,10.7721175898256,163.319202168323,0.045495213772314,1147.20479553458,18362.0289965817,4.67208571829417e-52,2.56534371200203e-54,0,1,26,0.120389876576595,28.9075994186616,18349.74979595,3.56744801982995e-50,3.0877826482436e-99,0,1,8,0.066108905106833,647.850908155693,18365.7842407836,1.23045204499981e-77,5.74568736093121e-84,0,1,17,2020-03-09,52,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,77006,NA,NA,NA,NA,163.8,4.4,NA,11.9,NA,NA,NA,NA,NA,3,NA,NA,NA,3236543909.34844,NA,NA,NA,NA,NA,NA,NA,3.6,NA,40,34,26.7,88.1,23.5,3984,5.8,18,7.7,NA,2.9,NA,NA,3.3,NA,NA,NA,100,100,NA,NA,28,44.3,NA,NA,2. Developed region: nonG7,2. High income: nonOECD,Europe,Europe,Southern Europe,Europe & Central Asia,1.56173613376591,42.5360352580001,4.43999633789065,2.20998535156252,6.0200134277344,5.21999511718752,4.47249755859377,77265,745,42,468,9642.1406846567,543.58377014172,6057.07629586488,0.107081596573687,772.545350455922,18348.9873867106,1.50084935509938e-92,1.1516534502092e-139,0,1,24,0.108457867111011,43.5781227454395,18355.6461521853,3.26741245448177e-61,3.60242299179407e-99,0,1,7,0.077988835329488,709.428239528322,18372.3346369337,4.30933979102441e-40,2.27384678789332e-39,0,1,28,2020-03-02,59,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,United Arab Emirates,9630959,77.1,79.2,14.6,84.3,135.6,1.5,1.4,13.5,77,101.7,NA,NA,200000,177,95533069,19054000,75440,414178942592.479,NA,NA,NA,82.1,1.4,56.1,NA,3144.9,NA,5.5,4.6,18,86.5,43,16,22.9,100,16.3,16.8,7.6,2.39,1.2,NA,108.4,NA,0.9,NA,100,NA,128,29.9,30.3,0.776,NA,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa,55.137114635663,24.35261831,22.3099914550781,19.5700012207031,21.7300048828125,23.85,21.8649993896485,9890400,12481,105,2429,1261.93076114212,10.6163552535792,245.591684866133,0.048676540203855,27532.8305974188,18377.5319819639,1.14313485391497e-63,1.03832087551222e-49,0,1,29,0.014236787455744,24516.5595129903,18501.2107422027,3.70372913070248e-12,0.211276544174406,1.83168265482094e-183,1,36,0.077006239038025,3634.00964229543,18371.2523682313,1.98650650176713e-34,3.77327225693382e-35,0,1,38,2020-01-29,92,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,Argentina,44494502,73.1,79.9,24.8,64.1,16.3,7.6,2.3,8.1,14,11.2,51.6,0,24000,117,18081937,1801292,19870,519871519807.795,32,7.7,41.2,61.3,0.1,69.7,0.5,8811.1,0.9,54.3,9.8,8.8,91.9,36.6,6843,4.8,94,5.9,15.8,9.9,3.96,4.9,5.5,109.7,100,1,76.8,100,7.9,134,28.5,31.7,0.83,185,5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean,-63.9698816808508,-37.0904997765,23.35,24.2600036621094,22.7499938964844,22.8900085449219,23.3125015258789,45195777,4428,218,1256,97.9737553798445,4.82345950153706,27.7902070363786,0.041252849248261,8201.93002542793,18371.3651962745,1.36517869284498e-41,5.30581731414694e-34,3.08573533418802e-306,1,28,0.046501118991422,440.929154039429,18374.3788802703,5.84267614099005e-56,1.17138464682042e-45,0,1,8,0.036246874666478,3551.12187408627,18383.12965027,9.64930464167311e-26,3.46746395404729e-13,3.06667921382522e-272,1,30,2020-03-03,58,58685,1298.46202223717,tests performed,2020-05-01,NA,NA,NA,NA,NA
ARM,Armenia,2951776,71.2,78.4,20.6,68.1,103.7,9.9,1.8,36.9,49.5,37.3,27.1,1.1,-24989,11047,NA,NA,10480,12433089919.0459,23.5,50,33.6,55.6,29.6,71.4,0.2,521.3,4.8,58.9,11.7,23.1,63.1,NA,2355,1.9,100,6.1,22.3,12.4,NA,4.1,2.8,94.1,92,NA,83.2,100,26.3,120,20.9,35.1,0.76,NA,6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,Europe & Central Asia,44.8365919050439,40.078872579,0.850000000000023,-4.35001220703123,-1.3599914550781,6.55001220703127,0.422502136230492,2963234,2066,32,929,697.211222603412,10.7990121603626,313.508821780528,0.038912435824808,3537.17406570881,18369.4887911049,3.49461567922397e-29,1.25907892872249e-23,5.83571042810954e-289,1,33,0.061428066479308,47.7400659505119,18367.6916208836,3.78237647476842e-45,7.24938700198992e-47,0,1,10,0.089671260144671,1366.30109340404,18370.8293434714,1.4486505343407e-40,5.68173658135331e-45,0,1,35,2020-03-01,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,96286,75.7,78,22.1,69.1,218.8,6.4,2,75.4,NA,NA,NA,1.1,0,107,580174.2,17657,25490,1610574074.07407,NA,NA,NA,NA,NA,NA,NA,5.6,NA,20.5,22.3,18.6,24.6,60.9,562,5.7,100,13.1,22.6,6.4,2.76,3.9,NA,103.7,98.2,1,NA,100,84.3,96,19.1,31.9,NA,NA,6. Developing region,3. Upper middle income,North America,Americas,Caribbean,Latin America & Caribbean,-61.7882151144501,17.0791690125001,27.3300109863281,26.6499877929688,26.3900085449219,26.2799926757813,26.6625,97928,24,3,11,245.07801650192,30.63475206274,112.327424230047,0.128281480717349,25.265332740672,18351.6568248848,4.7738441902836e-36,3.91431709550136e-83,0,1,29,0.286690287177534,2.99579997932311,18359.6443936971,3.74524173543704e-19,6.57493032659023e-77,0,1,15,0.21105786255515,13.1869615275274,18370.7752963463,8.97595448811807e-13,2.29721307914601e-32,0,1,16,2020-03-13,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
