ISO_A3,Country_Name,esperance_vie_hom,esperance_vie_fem,pop_0a14_p100,pop_15a64_p100,pop_65plus_p100,densite_pop,tx_mortalite_p1000,tx_fertilite,pop_rurale_p100,imports_p100GDP,exports_p100GDP,immigration,pop_refugies,transport_aerien,PIB_pcapita,PIB_pays,taux_emploi_p100,emploi_agric_p100,ratio_FH_emploi,articles_scientif,surface_agri_p100,surface_foret_p100,zones_terr_protegees_p100,pop_urbaine_p100,ressource_eau_pcapita,emissions_CO2,pop_expo_partic_fine_p100,pop_diabete_p100,mortalite_maladies_p100,mortalite_infant_0a5ans,pop_rurale_sanitaire_p100,acces_electricite_p100,tourisme_internat_p100export,apport_nrj_alim_p100besoin,preval_obesite_adult_p100,age_median,indice_dvpt_humain,political_regime,global_freedom_score_p100,groupe_economie_pays,groupe_PIB_pays,continent,region_ONU,sous_region,region_WB,Long,Lat,temp_dec19,temp_jan20,temp_fev20,temp_mar20,temp_mean,population,AUC_SI,AUC_confirmed,AUC_deaths,AUC_recovered,AUC_confirmed_pmillion,AUC_deaths_pmillion,AUC_recovered_pmillion,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max,confirmed_30avr,deaths_30avr,recovered_30avr,confirmed_p_million,deaths_p_million,recovered_p_million,b_confirmed,Asym_confirmed,xmid_confirmed,b_deaths,Asym_deaths,xmid_deaths,b_recovered,Asym_recovered,xmid_recovered,date_first_cases,days_since_first_cases
AFG,Afghanistan,63.0,66.0,43.1,54.3,2.6,56.9,6.4,4.5,74.5,45.3,5.9,-314602.0,2681269.0,1722612.6,1970,19362969582.3643,48.9,42.8,28.9,111.7,58.1,2.1,0.1,25.5,1413,0.3,100,9.2,29.8,62.3,37.1,97.7,3.1,96,4.5,18.9,0.791,Presidential Republic,27,7. Least developed region,5. Low income,Asia,Asia,Southern Asia,South Asia,65.1778358423138,33.9328265380001,-3.57001342773435,-11.2800048828125,-5.17999877929685,-1.79001464843748,-5.45500793457029,38928341,3242.035,27376.5,857,857,703.253704030182,22.0148092105954,22.0148092105954,6,30,48,76.33,2171,64,260,55.7691374518118,1.64404642879593,6.67893861698345,0.017732072703528,57956.3118727563,18450.0431076669,0.03498587511738,249.176480414133,18391.0758143688,0.085902926476344,434.983170163825,18374.2610307042,2/24/2020,66
AGO,Angola,58.1,63.7,46.8,51.0,2.2,24.7,8.2,5.5,34.5,23.3,29.0,32066.0,8253.0,1516628.0,6170,105750987618.63,77.5,50.4,96.5,30.1,47.5,46.3,7,65.5,5493,1.3,100,4.5,16.5,77.2,23.2,41.9,1.3,106,6.8,15.9,0.759,Presidential Republic,32,7. Least developed region,3. Upper middle income,Africa,Africa,Middle Africa,Sub-Saharan Africa,18.8636416277907,-11.9314917949999,25.7499938964844,25.3699890136719,25.3099914550781,25.8799987792969,25.5774932861328,32866268,3629.855,635.5,65,65,19.3359343385139,1.97771161605571,1.97771161605571,-43,7,7,93.38,27,2,7,0.821510978976986,0.060852665109406,0.212984327882922,0.092326563580227,29.0942916622366,18354.7585135027,37.737432012606,2,18349.0952133156,0.126873985494759,7.07862702506518,18360.0557952028,3/20/2020,41
ALB,Albania,76.8,80.2,17.7,68.6,13.7,104.6,7.9,1.6,39.7,46.6,31.6,-69998.0,13518.0,303137.0,13350,15102500898.238,55.7,36.7,72.3,180.4,43.1,28.1,17.7,60.3,9311,2,100,9,17,8.8,96.9,100,48.2,127,22.3,32.9,0.574,Parliamentary republic,67,6. Developing region,4. Lower middle income,Europe,Europe,Southern Europe,Europe & Central Asia,20.0064944925175,41.1456391430001,3.6199890136719,1.67998657226565,3.90999755859377,5.3799987792969,3.64749298095705,2877800,4362.55,17477.5,803.5,803.5,6073.21565084439,279.206338174995,279.206338174995,-13,2,40,88.36,773,31,470,268.607964417263,10.7721175898256,163.319202168323,0.045495213772314,1147.20479553458,18362.0289965817,0.120389876576595,28.9075994186616,18349.74979595,0.066108905106833,647.850908155693,18365.7842407836,3/9/2020,52
ARE,United Arab Emirates,77.1,79.2,14.6,84.3,1.1,135.6,1.5,1.4,13.5,77.0,101.7,200000.0,177.0,95533069.0,75440,414178942592.479,82.1,1.4,56.1,3144.9,5.5,4.6,18,86.5,16,22.9,100,16.3,16.8,7.6,NA,100,NA,128,29.9,30.3,0.776,Absolute monarchy,17,6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,Middle East & North Africa,55.137114635663,24.35261831,22.3099914550781,19.5700012207031,21.7300048828125,23.85,21.8649993896485,9890400,4188.735,175378.5,1149.5,1149.5,17732.1948556176,116.223812990375,116.223812990375,-6,54,66,91.54,12481,105,2429,1261.93076114212,10.6163552535792,245.591684866133,0.048676540203855,27532.8305974188,18377.5319819639,0.014236787455744,24516.5595129903,18501.2107422027,0.077006239038025,3634.00964229543,18371.2523682313,1/29/2020,92
ARG,Argentina,73.1,79.9,24.8,64.1,11.1,16.3,7.6,2.3,8.1,14.0,11.2,24000.0,117.0,18081937.0,19870,519871519807.795,61.3,0.1,69.7,8811.1,54.3,9.8,8.8,91.9,6843,4.8,94,5.9,15.8,9.9,76.8,100,7.9,134,28.5,31.7,0.83,Presidential Republic,85,5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,Latin America & Caribbean,-63.9698816808508,-37.0904997765,23.35,24.2600036621094,22.7499938964844,22.8900085449219,23.3125015258789,45195777,4931.085,81891,3531,3531,1811.91707357968,78.1267683482906,78.1267683482906,-40,16,20,100,4428,218,1256,97.9737553798445,4.82345950153706,27.7902070363786,0.041252849248261,8201.93002542793,18371.3651962745,0.046501118991422,440.929154039429,18374.3788802703,0.036246874666478,3551.12187408627,18383.12965027,3/3/2020,58
AUS,Australia,80.7,84.9,19.2,65.2,15.6,3.2,6.3,1.7,14.0,20.6,21.2,791229.0,13.0,75667645.0,50050,1433904348500.12,65.5,2.6,85.1,53610.2,48.2,16.3,19.3,86,20958,15.4,25,5.6,9.1,3.7,NA,100,14.5,132,30.4,38.7,0.938,Constitutional parliamentary monarchy,97,2. Developed region: nonG7,1. High income: OECD,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,133.0811263355,-24.9229061829999,31.2900024414063,30.6799865722656,29.360009765625,25.6400085449219,29.2425018310547,25459700,3818.1,220971,1960.5,1960.5,8679.24602410869,77.0040495371116,77.0040495371116,-1,57,63,71.44,6766,93,5742,265.753327808262,3.65283173014607,225.532901016116,0.150034812711075,6769.24084471055,18345.8699877105,0.069388600282741,106.443882169221,18358.2469550985,0.082920057388292,8374.03028280743,18367.9137743129,1/26/2020,95
AUT,Austria,79.4,84.0,14.3,66.7,19.0,107.2,9.5,1.5,41.7,50.7,54.0,324998.0,23.0,12935505.0,55300,455285818035.125,60.7,3.6,82.7,12362.3,32.4,46.9,28.4,58.3,6435,6.9,85,6.6,11.4,3.5,100,100,10,148,21.9,44,0.914,Parliamentary republic,93,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia,14.7636002258642,47.6945834350001,-0.389990234374977,-1.42999877929685,1.55999145507815,2.73000488281252,0.61750183105471,9006400,4133.01,494337,11997,11997,54887.3023627643,1332.05276248001,1332.05276248001,-1,17,20,84.79,15452,584,12907,1715.66885770119,64.8427784686445,1433.09202344999,0.126207120250827,15404.586427739,18345.5149491482,0.079705993080931,682.408547054524,18359.0940139024,0.110381537705842,14327.2701250741,18361.0347044558,2/25/2020,65
AZE,Azerbaijan,70.3,75.3,23.4,70.4,6.2,120.3,5.8,1.8,44.3,41.9,48.5,6002.0,11246.0,2279546.0,17100,46939529411.7647,66.5,35.9,90.9,761.4,57.7,14.1,10.2,55.7,851,3.9,100,6.1,22.2,21.5,87.6,100,11.1,131,19.9,21.4,0.754,Semi-Presidential Republic,10,6. Developing region,3. Upper middle income,Asia,Asia,Western Asia,Europe & Central Asia,47.7257553342907,40.1370384760001,11.1700073242188,7.29000244140627,9.68999633789065,14.3200012207031,10.6175018310547,10139175,4326.99,36379,454,454,3587.96450401537,44.776818626762,44.776818626762,-31,13,46,92.86,1804,24,1325,177.923746261407,2.36705649128257,130.681243789559,0.089852432160721,1986.86873162966,18358.7705635714,0.051908751330471,38.7366999408443,18367.3138909284,0.11114420179804,1717.62959254191,18370.1451555539,3/1/2020,60
BDI,Burundi,59.4,63.0,45.5,52.3,2.2,435.2,7.9,5.4,87.0,27.0,7.4,10003.0,387862.0,NA,750,3036931818.18182,79.2,92,103.4,21.1,79.2,10.9,7.6,13,1022,0,100,5.1,22.9,58.5,46.4,9.3,1.4,NA,4.4,17,0.805,Presidential Republic,13,7. Least developed region,5. Low income,Africa,Africa,Eastern Africa,Sub-Saharan Africa,29.9178297576671,-3.3845868454999,18.860009765625,18.7000061035156,19.0100036621094,18.7799926757813,18.8375030517578,11890781,1201.76,179.5,17.5,17.5,15.0957283630066,1.47172839193658,1.47172839193658,-59,NA,14,22.22,11,1,4,0.925086417788705,0.084098765253519,0.336395061014075,0.037725911871984,35.9967071618871,18384.2105835419,37.0422052911797,1,18364.0966781722,36.4238777910902,4,18371.0972724039,3/31/2020,30
BEL,Belgium,79.4,83.9,17.1,64.2,18.7,377.2,10.7,1.7,2.0,80.9,82.3,240000.0,54.0,13639487.0,51740,542761092103.469,53.6,1,82.8,15688.1,44.6,22.6,23.3,98,1071,8.3,92,4.6,11.4,3.7,99.5,100,2.3,147,24.5,41.4,0.838,Constitutional parliamentary monarchy,96,2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,Europe & Central Asia,4.84247766735196,50.4982107545001,4.30999145507815,3.98000488281252,5.55001220703127,6.04000244140627,4.97000274658205,11589616,4393.41,1058388.5,132012,132012,91322.1369888355,11390.5413259594,11390.5413259594,-7,39,45,83.6,48519,7594,11576,4186.41998147307,655.24172673193,998.825155207904,0.06493495234973,61394.4439844761,18359.2041470573,0.088736782376012,9295.16528207791,18363.452348459,0.075344212272656,14081.7683137065,18361.315889269,2/4/2020,86
