"ISO_A3","ISO_A2","Country","ECONOMY","INCOME_GRP","CONTINENT","REGION_UN","SUBREGION","REGION_WB","Long","Lat","temp_dec19","temp_jan20","temp_fev20","temp_mar20","temp_mean","Population","confirmed_31aou","deaths_31aou","recovered_31aou","condirmed_p_million","deaths_p_million","recovered_p_million","AUC_confirmed","AUC_deaths","AUC_recovered","cumul_tests","cumul_tests_p_million","type_test","date_testing","date_first_cases","days_since_first_cases","AUC_confirmed_pmillion","AUC_deaths_pmillion","AUC_recovered_pmillion","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split"
"ABW","AW","Aruba","6. Developing region","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-69.9849364343424,12.5270449895001,30.2000061035156,28.9500061035156,30.2000061035156,29.6799865722656,29.7575012207031,106766,2006,10,768,18788.7529737932,93.6627765393477,7193.30123822191,44494,457,19251,"NA","NA","NA","NA","2020-03-13",171,416743.157934174,4280.38888784819,180310.211115898,8939.325,3,16,28,88.89,0,"NA",19.8061491558387,3
"ATG","AG","Antigua and Barbuda","6. Developing region","3. Upper middle income","North America","Americas","Caribbean","Latin America & Caribbean",-61.7882151144501,17.0791690125001,27.3300109863281,26.6499877929688,26.3900085449219,26.2799926757813,26.6625,97928,94,3,91,959.888897965853,30.63475206274,929.254145903113,7680,429.5,5378.5,"NA","NA","NA","NA","2020-03-13",171,78424.9652806143,4385.87533698227,54923.0046564823,"NA","NA","NA","NA","NA",17.306907378336,3,24.1532095044453,8
"BHS","BS","Bahamas, The","6. Developing region","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-78.3354922309991,26.6528201965001,23.2099853515625,22.2400146484375,22.9599853515625,24.2700134277344,23.1699996948242,393248,2217,50,801,5637.66376434209,127.146228334283,2036.88257791521,54784.5,2020,15589.5,"NA","NA","NA","NA","2020-03-16",168,139312.85092359,5136.70762470502,39642.922532346,"NA","NA","NA","NA","NA",21.4614973262032,3,45.9324674641058,3
"BMU","BM","Bermuda","2. Developed region: nonG7","2. High income: nonOECD","North America","Americas","Northern America","North America",-64.7280248205746,32.3191987840202,19.5756097560976,18.4713958810069,19.0596833130329,18.6733727810651,19.5756097560976,62273,172,9,155,2762.03169913124,144.524914489426,2489.04019398455,20132,1195.5,15693.5,"NA","NA","NA","NA","2020-03-19",165,323286.175389013,19197.7261413454,252011.305059978,11520.31,-57,7,16,96.3,"NA","NA","NA","NA"
"BRB","BB","Barbados","6. Developing region","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-59.5661598592621,13.193670966,28.0599914550781,27.4099975585938,27.1899963378906,27.0500122070313,27.4274993896485,287371,174,7,146,605.489071618222,24.358755754756,508.054048599198,15659,979.5,11471,"NA","NA","NA","NA","2020-03-17",167,54490.5366233893,3408.48589454051,39917.0410375438,11869.575,-55,11,22,88.89,0,"NA",11.5546546546547,4
"CUB","CU","Cuba","5. Emerging region: G20","3. Upper middle income","North America","Americas","Caribbean","Latin America & Caribbean",-77.9521634549034,21.5197614605001,24.4599853515625,23.7300048828125,24.5800109863281,24.4999938964844,24.3174987792969,11326616,4032,94,3378,355.975694770618,8.29903653483088,298.235589517646,327299,11213,263799,403181,35595.8920122303,"tests performed","2020-08-31","2020-03-12",172,28896.4506256767,989.969113458071,23290.1865835303,13851.595,-44,12,60,100,"NA","NA","NA","NA"
"CUW","CW","Curacao","6. Developing region","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-69.0345333899717,12.2120628930001,28.9099975585938,27.6400085449219,29.1899963378906,28.5700012207031,28.5775009155274,164100,68,1,35,414.381474710542,6.09384521633151,213.284582571603,3681,165.5,2850.5,"NA","NA","NA","NA","2020-03-14",170,22431.4442413163,1008.53138330286,17370.505789153,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"CYM","KY","Cayman Islands","5. Emerging region: G20","2. High income: nonOECD","North America","Americas","Caribbean","Latin America & Caribbean",-81.1810922489592,19.3294741880001,28.0100036621094,27.4800048828125,26.9099975585938,26.7300048828125,27.2825027465821,65720,205,1,202,3119.29397443701,15.2160681679854,3073.64576993305,22916.5,168.5,17889,"NA","NA","NA","NA","2020-03-13",171,348699.026171637,2563.90748630554,272200.243457091,9007.06,-49,10,34,94.44,"NA","NA","NA","NA"
"DMA","DM","Dominica","6. Developing region","3. Upper middle income","North America","Americas","Caribbean","Latin America & Caribbean",-61.3454347125569,15.425340074,26.2499938964844,25.589990234375,25.3799987792969,25.2700134277344,25.6224990844727,71991,20,0,18,277.81250434082,0,250.031253906738,2697,0,2280,"NA","NA","NA","NA","2020-03-22",162,37463.0162103596,0,31670.6254948535,9536.315,0,10,10,79.63,"NA","NA","NA","NA"
"DOM","DO","Dominican Republic","6. Developing region","3. Upper middle income","North America","Americas","Caribbean","Latin America & Caribbean",-70.1252786103869,18.7765477530001,24.4099975585938,23.6400085449219,24.9399963378906,23.8099914550781,24.1999984741211,10847904,94715,1710,68082,8731.17977445228,157.634138355207,6276.0511154966,5347299.5,110011,2938522,373001,34384.6147606026,"samples tested","2020-08-31","2020-03-01",183,492933.888426741,10141.2217512249,270883.850004572,14050.585,1,18,58,97.22,0,"NA",11.6275737507526,17
