"ISO_A3","Country","Population","condirmed_p_million","deaths_p_million","recovered_p_million",,,,,,,
"ABW","Aruba",106766,18789,94,7193.30123822191,,,"ABW","Aruba",107,19,94
"ATG","Antigua and Barbuda",97928,960,31,929.254145903113,,,"ATG","Antigua & Barbuda",98,960,31
"BHS","Bahamas, The",393248,5638,127,2036.88257791521,,,"BHS","The Bahamas",393,6,127
"BMU","Bermuda",62273,2762,145,2489.04019398455,,,"BMU","Bermuda",62,3,145
"BRB","Barbados",287371,605,24,508.054048599198,,,"BRB","Barbados",287,605,24
"CUB","Cuba",11326616,356,8,298.235589517646,,,"CUB","Cuba",11327,356,8
"CUW","Curacao",164100,414,6,213.284582571603,,,"CUW","Curacao",2,414,6
"CYM","Cayman Islands",65720,3119,15,3073.64576993305,,,"CYM","Cayman Islands",7,3,15
"DMA","Dominica",71991,278,0,250.031253906738,,,"DMA","Dominica",72,278,0
"DOM","Dominican Republic",10847904,8731,158,6276.0511154966,,,"DOM","Dominican Republic",10848,9,158
"GLP","Guadeloupe",400127,3171,40,839.733384650373,,,"GLP","Guadeloupe",400,3,40
"GRD","Grenada",112519,213,0,213.29730978768,,,"GRD","Grenada",113,213,0
"HTI","Haiti",11402533,721,18,511.114504119392,,,"HTI","Haiti",11403,721,18
"JAM","Jamaica",2961161,830,7,300.55778797573,,,"JAM","Jamaica",2961,830,7
"KNA","St. Kitts and Nevis",53192,320,0,319.596931869454,,,"KNA","St. Kitts & Nevis",53,320,0
"LCA","St. Lucia",183629,142,0,136.144073103922,,,"LCA","St. Lucia",184,142,0
"MTQ","Martinique",375265,1639,43,261.148788189679,,,"MTQ","Martinique",375,2,43
"TCA","Turks and Caicos Islands",38718,13121,103,5165.55607211116,,,"TCA","Turks & Caicos Islands",39,13,103
"TTO","Trinidad and Tobago",1399491,1257,16,483.032759767658,,,"TTO","Trinidad & Tobago",1399,1,16
"VCT","St. Vincent and the Grenadines",110947,541,0,513.758821779769,,,"VCT","St. Vincent & the Grenadines",111,541,0
"VGB","British Virgin Islands",30237,1554,33,264.576512220128,,,"VGB","British Virgin Islands",30,2,33
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"GC",2659.7040629014,47.6631625173188,,,,,,,,
,,"PC",3207.21865325716,39.7861392923765,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,3102.93015985606,41.286524668556,,,,,,,,
