Date,Key,Confirmed,Deaths
2019-12-30,FR,0,0
2019-12-31,FR,0,0
2020-01-01,FR,0,0
2020-01-02,FR,0,0
2020-01-03,FR,0,0
2020-01-04,FR,0,0
2020-01-05,FR,0,0
2020-01-06,FR,0,0
2020-01-07,FR,0,0
2020-01-08,FR,0,0
2020-01-09,FR,0,0
2020-01-10,FR,0,0
2020-01-11,FR,0,0
2020-01-12,FR,0,0
2020-01-13,FR,0,0
2020-01-14,FR,0,0
2020-01-15,FR,0,0
2020-01-16,FR,0,0
2020-01-17,FR,0,0
2020-01-18,FR,0,0
2020-01-19,FR,0,0
2020-01-20,FR,0,0
2020-01-21,FR,0,0
2020-01-22,FR,0,0
2020-01-23,FR,0,0
2020-01-24,FR,3,0
2020-01-25,FR,3,0
2020-01-26,FR,3,0
2020-01-27,FR,3,0
2020-01-28,FR,4,0
2020-01-29,FR,5,0
2020-01-30,FR,6,0
2020-01-31,FR,6,0
2020-02-01,FR,6,0
2020-02-02,FR,6,0
2020-02-03,FR,6,0
2020-02-04,FR,6,0
2020-02-05,FR,6,0
2020-02-06,FR,6,0
2020-02-07,FR,11,0
2020-02-08,FR,11,0
2020-02-09,FR,11,0
2020-02-10,FR,11,0
2020-02-11,FR,11,0
2020-02-12,FR,11,0
2020-02-13,FR,11,0
2020-02-14,FR,11,1
2020-02-15,FR,11,1
2020-02-16,FR,12,1
2020-02-17,FR,12,1
2020-02-18,FR,12,1
2020-02-19,FR,12,1
2020-02-20,FR,12,1
2020-02-21,FR,12,1
2020-02-22,FR,12,1
2020-02-23,FR,12,1
2020-02-24,FR,12,1
2020-02-25,FR,14,1
2020-02-26,FR,17,2
2020-02-27,FR,38,2
2020-02-28,FR,57,2
2020-02-29,FR,100,2
2020-03-01,FR,130,2
2020-03-02,FR,178,3
2020-03-03,FR,212,4
2020-03-04,FR,285,4
2020-03-05,FR,423,7
2020-03-06,FR,613,9
2020-03-07,FR,716,10
2020-03-08,FR,1126,19
2020-03-09,FR,1412,30
2020-03-10,FR,1784,33
2020-03-11,FR,2281,48
2020-03-12,FR,2876,61
2020-03-13,FR,3661,79
2020-03-14,FR,4499,91
2020-03-15,FR,5423,127
2020-03-16,FR,6633,148
2020-03-17,FR,7730,175
2020-03-18,FR,9134,244
2020-03-19,FR,10995,372
2020-03-20,FR,12612,450
2020-03-21,FR,14459,562
2020-03-22,FR,16018,674
2020-03-23,FR,19856,860
2020-03-24,FR,22302,1100
2020-03-25,FR,25233,1331
2020-03-26,FR,29155,1696
2020-03-27,FR,32964,1995
2020-03-28,FR,37575,2314
2020-03-29,FR,40174,2606
2020-03-30,FR,44550,3024
2020-03-31,FR,52128,3523
2020-04-01,FR,56989,4032
2020-04-02,FR,59105,4503
2020-04-03,FR,64338,6507
2020-04-04,FR,68605,7560
2020-04-05,FR,70478,8078
2020-04-06,FR,74390,8911
2020-04-07,FR,78167,10328
2020-04-08,FR,82048,10869
2020-04-09,FR,86334,12210
2020-04-10,FR,90676,13197
2020-04-11,FR,93790,13832
2020-04-12,FR,95403,14393
2020-04-13,FR,98076,14967
2020-04-14,FR,103573,15729
2020-04-15,FR,106206,17167
2020-04-16,FR,108847,17920
2020-04-17,FR,109252,18681
2020-04-18,FR,111821,19323
2020-04-19,FR,112606,19718
2020-04-20,FR,114657,20265
2020-04-21,FR,117324,20796
2020-04-22,FR,119151,21340
2020-04-23,FR,120804,21856
2020-04-24,FR,122577,22245
2020-04-25,FR,124114,22614
2020-04-26,FR,124575,22856
2020-04-27,FR,125770,23293
2020-04-28,FR,126835,23660
2020-04-29,FR,128442,24087
2020-04-30,FR,129581,24376
2020-05-01,FR,130185,24594
