date,cas_confirmes,deces,gueris
2020-01-24,3,0,NA
2020-01-27,3,0,0
2020-01-28,4,0,0
2020-01-29,5,0,0
2020-01-30,6,0,0
2020-01-31,6,0,0
2020-02-02,6,0,0
2020-02-03,6,0,0
2020-02-04,6,0,0
2020-02-05,6,0,0
2020-02-07,6,0,0
2020-02-08,11,0,0
2020-02-09,11,0,0
2020-02-10,11,0,0
2020-02-12,11,0,2
2020-02-13,11,0,3
2020-02-15,12,1,4
2020-02-17,12,1,NA
2020-02-19,12,1,7
2020-02-21,12,1,10
2020-02-23,12,1,10
2020-02-24,12,1,11
2020-02-25,14,1,11
2020-02-26,18,2,12
2020-02-27,38,2,12
2020-02-28,57,2,NA
2020-02-29,100,2,12
2020-03-01,130,2,12
2020-03-02,191,3,NA
2020-03-03,212,4,12
2020-03-04,285,4,NA
2020-03-05,423,7,NA
2020-03-06,613,9,NA
2020-03-07,949,16,NA
2020-03-09,1412,25,NA
2020-03-10,1784,33,NA
2020-03-11,2281,48,NA
2020-03-12,2876,61,NA
2020-03-14,4500,91,NA
2020-03-15,5423,127,NA
2020-03-17,7730,175,602
2020-03-18,9134,264,1000
2020-03-19,10995,372,1300
2020-03-20,12612,450,1587
2020-03-21,14459,562,NA
2020-03-22,16689,674,2200
2020-03-23,19856,860,NA
2020-03-24,22302,1100,3281
2020-03-25,25233,1331,3900
2020-03-26,29155,1696,4948
2020-03-27,32964,1995,NA
2020-03-28,37575,2314,NA
2020-03-29,40174,2606,NA
2020-03-30,44550,3024,7924
2020-03-31,52128,3523,9444
2020-04-01,56989,4032,10935
2020-04-02,59105,4503,12428
2020-04-03,64338,5091,14008
2020-04-04,68605,5532,15438
2020-04-05,70478,5889,16183
2020-04-06,74390,6494,17250
2020-04-07,78167,7091,19337
2020-04-08,82048,7632,21254
2020-04-09,86334,8044,23206
2020-04-10,90676,8598,24932
2020-04-11,93790,8943,26391
2020-04-12,95403,9253,27186
2020-04-13,98076,9588,27718
2020-04-14,103573,10129,28805
2020-04-15,106206,10643,30995
2020-04-16,108847,11060,32812
2020-04-17,109252,11478,34420
2020-04-18,111821,11842,35983
2020-04-19,112606,12069,36578
2020-04-20,114657,12513,37409
2020-04-21,117324,12900,39181
2020-04-22,119151,13236,40657
2020-04-23,120804,13547,42088
2020-04-24,122577,13852,43493
2020-04-25,124114,14050,44594
2020-04-26,124575,14202,44903
2020-04-27,128339,14497,45513
2020-04-28,129859,14810,46886
2020-04-29,128442,15053,48228
2020-04-30,129581,15244,49476
2020-05-01,130185,15369,50212
2020-05-02,130979,15487,50562
2020-05-03,131287,15583,50784
