ISO_A3,Country,AUC_SI,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max,residential_change,residential_date_split,mobility_change_index,mobility_change_index_date_split
ABW,Aruba,3223.5699999999997,2,16,36,86.24,26.15625,4,61.02447173346367,4
AFG,Afghanistan,3242.035,6,30,48,76.33,11.624649859943977,32,35.6781512605042,32
AGO,Angola,3629.855,-43,7,7,93.38,23.544444444444444,1,47.0482960714668,1
AIA,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,Albania,4362.55,-13,2,40,88.36,NA,NA,NA,NA
AND,Andorra,2487.74,11,23,37,61.77,NA,NA,NA,NA
ARE,United Arab Emirates,4188.735,-6,54,66,91.54,23.657894736842106,54,57.71967291348096,54
ARG,Argentina,4931.085,-40,16,20,100,24.830532212885153,16,69.54770012746056,16
ARM,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,NA,NA,NA,NA,NA,18.071428571428573,5,60.35459636532529,16.5
AUS,Australia,3818.1,-1,57,63,71.44,16.973684210526315,57,42.38901006487052,57
AUT,Austria,4133.01,-1,17,20,84.79,19.31159420289855,19,57.5416550190915,18
AZE,Azerbaijan,4326.99,-31,13,46,92.86,NA,NA,NA,NA
BDI,Burundi,1201.76,-59,NA,14,22.22,NA,NA,NA,NA
BEL,Belgium,4393.41,-7,39,45,83.6,22.066666666666666,40,52.852191563913,40
BEN,Benin,2751.9700000000003,-44,14,14,58.74,9.948863636363637,13,16.90794754341266,13
BFA,Burkina Faso,3783.245,2,11,13,88.75,16.865546218487395,9,26.66300372761993,9.5
BGD,Bangladesh,4590.9000000000005,-46,11,34,94.58,21.683333333333334,17,61.89013254366196,16
BGR,Bulgaria,4008.65,-34,5,24,75.52,15.599413059427734,6,50.4189323271495,5.5
BHR,Bahrain,4325.804999999999,-32,23,40,86.77,12.436222692036646,23,26.663277451572597,22
BHS,"Bahamas, The",NA,NA,NA,NA,NA,28.327731092436977,3,67.11005367915246,4
BIH,Bosnia and Herzegovina,4655.2,-34,11,50,91.4,15.145519713261647,11,47.557757336071425,11
BLM,Saint Barthelemy,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,Belarus,648.4050000000001,15,NA,36,19.44,6.917613636363637,30,19.220045581869112,30
BLZ,Belize,3057.29,-34,-3,35,73.42,22.120543293718168,0,65.7467694774571,0
BMU,Bermuda,4362.885,-57,1,16,97.35,NA,NA,NA,NA
BOL,Bolivia,4281.725,1,5,34,97.35,34.01111111111111,10,79.4580155670443,10
BRA,Brazil,3389.325,5,20,60,72.51,16.681465821000707,21,47.787145680940355,21
BRB,Barbados,4163.745,-55,2,22,90.47,26.652597402597404,12,71.99162595270667,11
BRN,Brunei Darussalam,3831.5950000000003,-63,4,33,60.71,NA,NA,NA,NA
BTN,Bhutan,3414.0699999999997,0,21,21,78.3,NA,NA,NA,NA
BWA,Botswana,4374.610000000001,-89,-11,3,87.04,35.56845238095238,3,62.13722006777766,3
CAF,Central African Republic,2617.255,-1,11,11,69.97,NA,NA,NA,NA
CAN,Canada,3525.2000000000003,-4,52,66,76.73,19.2494623655914,50,47.362410729026536,50
CHE,Switzerland,4104.469999999999,0,21,21,79.49,17.60430107526882,20,39.111205390280375,20
CHI,Channel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHL,Chile,3357.79,11,15,22,83.6,22.045454545454547,14,57.72234203437223,14
CHN,China,6707.875,26,47,77,75.42,NA,NA,NA,NA
CIV,Cote d'Ivoire,3672.915,1,8,13,86.11,15.48611111111111,10,28.692978371380168,9.5
CMR,Cameroon,3058.77,7,12,43,76.32,10.194677871148459,13,21.348388319386952,12.5
COD,"Congo, Dem. Rep.",3545.4300000000003,-20,8,17,85.85,NA,NA,NA,NA
COG,"Congo, Rep.",3513.04,-12,13,16,98.02,NA,NA,NA,NA
COL,Colombia,4463.1,-45,11,52,93.38,31.023809523809526,13,76.20476190476191,13
CPV,Cabo Verde,3736.6949999999997,-44,3,12,79.63,25.014619883040936,4,56.66552873096179,0.5
CRI,Costa Rica,4014.695,-32,10,52,81.61,21.678977272727273,11,55.3701330162086,11
