ISO_A3,Country,AUC_SI,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max,residential_change,residential_date_split,mobility_change_index,mobility_change_index_date_split
ABW,Aruba,8939.324999999999,3,16,28,88.89,0,NA,19.80614915583869,3
AFG,Afghanistan,12910.560000000001,-1,29,48,84.26,0,NA,18.779232178959965,30.5
AGO,Angola,12996.305,-43,7,7,90.74,0,NA,10.38349727515897,33.5
AIA,Anguilla,7840.5599999999995,-59,-1,11,82.41,NA,NA,NA,NA
ALB,Albania,12770.485,-24,2,40,89.81,NA,NA,NA,NA
AND,Andorra,7495.175,11,37,37,56.48,NA,NA,NA,NA
ARE,United Arab Emirates,11171.69,-6,54,66,89.81,0,NA,21.25898039215686,50
ARG,Argentina,16033.744999999999,-40,16,20,100,19.112711213517667,13,43.699582090900876,13
ARM,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,NA,NA,NA,NA,NA,17.30690737833595,3,24.15320950444528,8
AUS,Australia,12207.96,-1,57,190,79.17,12.050980392156863,53,19.015238034401627,54.5
AUT,Austria,9440.83,-1,20,20,85.19,-9.813492063492065,97,34.76700231259767,97
AZE,Azerbaijan,15094.015,-31,13,112,96.3,NA,NA,NA,NA
BDI,Burundi,2544.685,-59,NA,-9,13.89,NA,NA,NA,NA
BEL,Belgium,11686.475,-7,39,45,81.48,12.555137844611528,38,27.800642045792447,124
BEN,Benin,8742.425,-44,14,14,70.83,0,NA,10.00053009269052,58.5
BFA,Burkina Faso,9991.745,2,11,55,89.81,-8.241641337386017,80,15.870576398603124,80
BGD,Bangladesh,14349.265000000001,-47,11,34,93.52,0,NA,0,NA
BGR,Bulgaria,8965.955,-34,5,13,73.15,-10.877507598784193,82,34.150529903196706,82
BHR,Bahrain,13210.495,-33,23,33,78.7,11.907082876962395,23,11.043980655351433,22.5
BHS,"Bahamas, The",NA,NA,NA,NA,NA,21.461497326203208,3,45.932467464105834,3
BIH,Bosnia and Herzegovina,12302.53,-34,12,36,92.59,-8.86643766417458,78,25.26854872927967,76
BLM,Saint Barthelemy,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,Belarus,2126.225,15,NA,36,19.44,-6.598932676518883,98,19.231731840596996,67
BLZ,Belize,12290.995,-34,-3,53,85.19,13.587968613775065,-1,14.194170299331589,-1.5
BMU,Bermuda,11520.31,-57,7,16,96.3,NA,NA,NA,NA
BOL,Bolivia,15602.245,-1,5,20,96.3,27.87425149700599,6,66.16616467012632,6
BRA,Brazil,13330.095,-28,20,69,81.02,13.211025921869297,21,30.846443275723058,21
BRB,Barbados,11869.575,-55,11,22,88.89,0,NA,11.554654654654655,4
BRN,Brunei Darussalam,9541.22,-63,15,33,58.33,NA,NA,NA,NA
BTN,Bhutan,13482.55,-51,21,21,83.33,NA,NA,NA,NA
BWA,Botswana,11785.35,-89,-11,3,86.11,0,NA,10.410735869178813,52
CAF,Central African Republic,10440.285,-1,11,54,75.93,NA,NA,NA,NA
CAN,Canada,11909.635,-4,52,66,74.54,12.054437869822486,49,40.56916503351855,81
CHE,Switzerland,9946.965,0,21,21,73.15,-9.100230173676502,107,32.88586093674288,96.5
CHL,Chile,13241.02,20,24,131,89.35,22.95508982035928,23,61.56496797470479,23
CHN,China,16938.52,26,47,107,81.94,NA,NA,NA,NA
CIV,Cote d'Ivoire,9989.885,1,8,13,80.56,0,NA,9.952488246760693,110
CMR,Cameroon,10351.515,7,12,43,71.3,0,NA,14.283296651125434,89
COD,"Congo, Dem. Rep.",12047.855,-20,8,26,80.56,NA,NA,NA,NA
COG,"Congo, Rep.",12597.805,-12,13,16,97.22,NA,NA,NA,NA
COL,Colombia,14998.380000000001,-45,11,52,90.74,23.475757575757576,13,58.722959001782534,13
COM,Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPV,Cabo Verde,12863.93,-44,3,43,87.96,15.963752665245202,0,46.81653700043955,-0.5
CRI,Costa Rica,12780.405,-32,11,52,81.48,18.81493263473054,11,48.757187106051056,11
CUB,Cuba,13851.595,-44,12,60,100,NA,NA,NA,NA
CUW,Curacao,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,Cayman Islands,9007.06,-49,10,34,94.44,NA,NA,NA,NA
CYP,Cyprus,11783.88,-4,7,38,94.44,NA,NA,NA,NA
CZE,Czechia,9510.385,-37,12,22,82.41,NA,NA,NA,NA
DEU,Germany,11501.89,-3,51,55,76.85,-5.48686974789916,137,22.519257160021393,126
DJI,Djibouti,11047.455,0,4,5,100,NA,NA,NA,NA
DMA,Dominica,9536.315,0,10,10,79.63,NA,NA,NA,NA
DNK,Denmark,11306.84,0,15,20,72.22,-7.094665589007882,85,49.68294354327457,85
DOM,Dominican Republic,14050.585000000001,1,18,58,97.22,0,NA,11.627573750752559,17
DZA,Algeria,12956.775,9,27,49,92.13,NA,NA,NA,NA
ECU,Ecuador,14110.885,-35,14,16,93.52,0,NA,14.36010963525195,14.5
EGY,"Egypt, Arab Rep.",12027.07,30,39,40,84.26,0,NA,25.7308642859864,79.5
ERI,Eritrea,15066.41,-10,2,11,93.52,NA,NA,NA,NA
ESH,Western Sahara,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,Spain,12268.81,-1,42,58,85.19,-13.430623973727425,125,30.058956874945988,119
EST,Estonia,7584.49,14,27,31,77.78,-9.950798141038593,85,42.75187391647097,87
ETH,Ethiopia,13092.02,-45,12,26,80.56,NA,NA,NA,NA
FIN,Finland,8522,-2,47,59,60.19,-7.796019397858153,114,44.06489775439554,118.5
FJI,Fiji,12682.325,-57,0,11,88.89,0,NA,7.651357779475427,53
FLK,Falkland Islands,7324.51,-19,-9,4,79.63,NA,NA,NA,NA
FRA,France,12026.76,-1,50,53,87.96,-12.80628166160081,126,55.384465607024275,126
FRO,Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA
GAB,Gabon,12748.545,-52,6,31,81.48,15.729411764705882,5,5.876317135549872,57
GBR,United Kingdom,12292.175,-11,51,53,79.63,0,NA,29.301445203424194,47
GEO,Georgia,13790.789999999999,-29,17,34,100,-15.078723404255319,82,27.248821700035833,50
GHA,Ghana,10164.66,-50,8,16,86.11,0,NA,14.867087118743585,6.5
GIB,Gibraltar,10492.68,-33,13,20,79.63,NA,NA,NA,NA
GIN,Guinea,11894.94,-46,14,17,78.7,NA,NA,NA,NA
GLP,Guadeloupe,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMB,"Gambia, The",12075.725,-39,3,10,78.7,NA,NA,NA,NA
GNB,Guinea-Bissau,NA,NA,NA,NA,NA,0,NA,14.895322580645162,0
GNQ,Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRC,Greece,11162.44,-1,17,26,84.26,-13.573449181652858,86,65.73501258064854,83.5
GRD,Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRL,Greenland,8456.555,-14,2,10,77.78,NA,NA,NA,NA
GTM,Guatemala,16456.03,-53,2,35,96.3,23.087365591397848,2,56.74021584440228,2
GUF,French Guiana,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUY,Guyana,13760.425000000001,-54,16,28,87.04,NA,NA,NA,NA
HND,Honduras,16557.195,-9,5,10,100,21.652268244575936,4,61.42115382468616,4.5
HRV,Croatia,9986.21,-29,24,27,96.3,-10.094831094831095,80,79.63465104516742,107
HTI,Haiti,11584.515,-45,-1,30,93.52,0,NA,12.41670690345187,0
HUN,Hungary,10761.355,-5,8,24,76.85,-8.289614121510674,93,27.494920091960356,91
IDN,Indonesia,12326.29,-59,27,53,80.09,12.345434131736527,15,17.100456465906237,15.5
IMN,Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,India,14660.15,-5,49,52,100,0,NA,36.98323919171468,51
IRL,Ireland,11871.994999999999,-25,26,37,90.74,0,NA,19.265642519127116,108
IRN,"Iran, Islamic Rep.",9949.03,1,29,145,64.35,NA,NA,NA,NA
IRQ,Iraq,16548.59,-5,1,31,96.3,11.756389452332657,19,13.795667308825085,19
ISL,Iceland,7982.6050000000005,-36,17,21,53.7,NA,NA,NA,NA
ISR,Israel,12815.14,-25,21,47,94.44,-9.030173292558612,83,23.863616442256532,51.5
ITA,Italy,13321.935,-8,23,72,93.52,-17.134168518892707,112,58.02965634363812,113
JAM,Jamaica,13592.800000000001,-40,2,42,87.04,0,NA,0,4
JOR,Jordan,11802.465,2,15,15,100,-11.53756157635468,94,31.765838806787084,94
JPN,Japan,7178.11,-8,NA,92,47.22,0,NA,0,82
KAZ,Kazakhstan,13658.994999999999,-1,5,17,89.35,8.038700255567726,5,15.141037989944135,32
KEN,Kenya,14330.735,-53,2,24,88.89,16.413803680981594,8,35.78965134265488,7
KGZ,Kyrgyz Republic,14437.425,-56,-1,7,92.13,-9.814103859365527,65,7.336205703403474,65
KHM,Cambodia,8306.69,40,59,73,68.52,0,NA,10.434918425872374,49
KNA,St. Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,"Korea, Rep.",11194.725,11,35,77,82.41,-3.9209039548022604,106,19.512462488598338,95
KWT,Kuwait,14943.26,-32,16,76,100,0,NA,48.12115863896868,17
LAO,Lao PDR,8128.4349999999995,-13,6,6,96.3,-4.746845746845747,52,7.861755769038788,61
LBN,Lebanon,12513.005,-13,24,26,85.19,-8.513272543059777,98,31.21324094324266,86
LBR,Liberia,13182.43,-47,6,27,87.96,NA,NA,NA,NA
LBY,Libya,15684.785,-43,-2,24,100,-9.013078049801214,79,23.95866695900064,44
LCA,St. Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIE,Liechtenstein,NA,NA,NA,NA,NA,0,NA,12.398967741935483,12
LKA,Sri Lanka,11734.265,-1,49,60,100,-15.038485221674875,130,42.670639003654856,48
LSO,Lesotho,11922.06,-70,-56,-45,90.74,NA,NA,NA,NA
LTU,Lithuania,9170.95,-2,17,42,87.04,-11.932928064842958,91,47.93651688715787,91
LUX,Luxembourg,8458.58,5,15,17,79.63,-10.28578892371996,97,38.786189984658265,95
