ISO_A3,Country,AUC_SI,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max,SI_last
ABW,Aruba,8939.324999999999,3,16,28,88.89,60.65
AFG,Afghanistan,NA,NA,NA,NA,NA,NA
AGO,Angola,NA,NA,NA,NA,NA,NA
AIA,Anguilla,NA,NA,NA,NA,NA,NA
ALB,Albania,NA,NA,NA,NA,NA,NA
AND,Andorra,NA,NA,NA,NA,NA,NA
ARE,United Arab Emirates,NA,NA,NA,NA,NA,NA
ARG,Argentina,NA,NA,NA,NA,NA,NA
ARM,Armenia,NA,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,NA,NA,NA,NA,NA,NA
AUS,Australia,NA,NA,NA,NA,NA,NA
AUT,Austria,NA,NA,NA,NA,NA,NA
AZE,Azerbaijan,NA,NA,NA,NA,NA,NA
BDI,Burundi,NA,NA,NA,NA,NA,NA
BEL,Belgium,NA,NA,NA,NA,NA,NA
BEN,Benin,NA,NA,NA,NA,NA,NA
BFA,Burkina Faso,NA,NA,NA,NA,NA,NA
BGD,Bangladesh,NA,NA,NA,NA,NA,NA
BGR,Bulgaria,NA,NA,NA,NA,NA,NA
BHR,Bahrain,NA,NA,NA,NA,NA,NA
BHS,"Bahamas, The",NA,NA,NA,NA,NA,NA
BIH,Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA
BLM,Saint Barthelemy,NA,NA,NA,NA,NA,NA
BLR,Belarus,NA,NA,NA,NA,NA,NA
BLZ,Belize,NA,NA,NA,NA,NA,NA
BMU,Bermuda,11520.31,-57,7,16,96.3,44.44
BOL,Bolivia,NA,NA,NA,NA,NA,NA
BRA,Brazil,NA,NA,NA,NA,NA,NA
BRB,Barbados,11869.575,-55,11,22,88.89,38.89
BRN,Brunei Darussalam,NA,NA,NA,NA,NA,NA
BTN,Bhutan,NA,NA,NA,NA,NA,NA
BWA,Botswana,NA,NA,NA,NA,NA,NA
CAF,Central African Republic,NA,NA,NA,NA,NA,NA
CAN,Canada,NA,NA,NA,NA,NA,NA
CHE,Switzerland,NA,NA,NA,NA,NA,NA
CHI,Channel Islands,NA,NA,NA,NA,NA,NA
CHL,Chile,NA,NA,NA,NA,NA,NA
CHN,China,NA,NA,NA,NA,NA,NA
CIV,Cote d'Ivoire,NA,NA,NA,NA,NA,NA
CMR,Cameroon,NA,NA,NA,NA,NA,NA
COD,"Congo, Dem. Rep.",NA,NA,NA,NA,NA,NA
COG,"Congo, Rep.",NA,NA,NA,NA,NA,NA
COL,Colombia,NA,NA,NA,NA,NA,NA
CPV,Cabo Verde,NA,NA,NA,NA,NA,NA
CRI,Costa Rica,NA,NA,NA,NA,NA,NA
CUB,Cuba,13851.595,-44,12,60,100,82.41
CUW,Curacao,NA,NA,NA,NA,NA,NA
CYM,Cayman Islands,NA,NA,NA,NA,NA,NA
CYP,Cyprus,NA,NA,NA,NA,NA,NA
CZE,Czechia,NA,NA,NA,NA,NA,NA
DEU,Germany,NA,NA,NA,NA,NA,NA
DJI,Djibouti,NA,NA,NA,NA,NA,NA
DMA,Dominica,9536.315,0,10,10,79.63,36.11
DNK,Denmark,NA,NA,NA,NA,NA,NA
DOM,Dominican Republic,14050.585000000001,1,18,58,97.22,75.93
DZA,Algeria,NA,NA,NA,NA,NA,NA
ECU,Ecuador,NA,NA,NA,NA,NA,NA
EGY,"Egypt, Arab Rep.",NA,NA,NA,NA,NA,NA
ERI,Eritrea,NA,NA,NA,NA,NA,NA
ESH,Western Sahara,NA,NA,NA,NA,NA,NA
ESP,Spain,NA,NA,NA,NA,NA,NA
EST,Estonia,NA,NA,NA,NA,NA,NA
ETH,Ethiopia,NA,NA,NA,NA,NA,NA
FIN,Finland,NA,NA,NA,NA,NA,NA
FJI,Fiji,NA,NA,NA,NA,NA,NA
FLK,Falkland Islands,NA,NA,NA,NA,NA,NA
FRA,France,12026.76,-1,50,53,87.96,43.06
FRO,Faroe Islands,NA,NA,NA,NA,NA,NA
GAB,Gabon,NA,NA,NA,NA,NA,NA
GBR,United Kingdom,NA,NA,NA,NA,NA,NA
GEO,Georgia,NA,NA,NA,NA,NA,NA
GHA,Ghana,NA,NA,NA,NA,NA,NA
GIB,Gibraltar,NA,NA,NA,NA,NA,NA
GIN,Guinea,NA,NA,NA,NA,NA,NA
GLP,Guadeloupe,NA,NA,NA,NA,NA,NA
GMB,"Gambia, The",NA,NA,NA,NA,NA,NA
GNB,Guinea-Bissau,NA,NA,NA,NA,NA,NA
GNQ,Equatorial Guinea,NA,NA,NA,NA,NA,NA
GRC,Greece,NA,NA,NA,NA,NA,NA
GRD,Grenada,NA,NA,NA,NA,NA,NA
GRL,Greenland,NA,NA,NA,NA,NA,NA
GTM,Guatemala,NA,NA,NA,NA,NA,NA
GUF,French Guiana,NA,NA,NA,NA,NA,NA
GUY,Guyana,NA,NA,NA,NA,NA,NA
HND,Honduras,NA,NA,NA,NA,NA,NA
HRV,Croatia,NA,NA,NA,NA,NA,NA
HTI,Haiti,11584.515,-45,-1,30,93.52,17.59
HUN,Hungary,NA,NA,NA,NA,NA,NA
IDN,Indonesia,NA,NA,NA,NA,NA,NA
IMN,Isle of Man,NA,NA,NA,NA,NA,NA
IND,India,NA,NA,NA,NA,NA,NA
IRL,Ireland,NA,NA,NA,NA,NA,NA
IRN,"Iran, Islamic Rep.",NA,NA,NA,NA,NA,NA
