ISO_A3,ISO_A2,Country,Lat,Long,confirmed_last,deaths_last,recovered_last,AUC_confirmed,AUC_deaths,AUC_recovered
AFG,AF,Afghanistan,33.93911,67.709953,59745,2625,53206,15147218.5,588239.5,11842091
ALB,AL,Albania,41.1533,20.1683,131085,2394,109338,15878794.5,304392,10354229
DZA,DZ,Algeria,28.0339,1.6596,122108,3253,85108,23990539,735223.5,16386208
AND,AD,Andorra,42.5063,1.5218,13232,125,12684,1981852,28356.5,1775912
AGO,AO,Angola,-11.2027,17.8739,26652,596,23876,3872247,96742,2924448
AIA,AI,Anguilla,18.2206,-63.068600000000004,93,0,29,3761.5,0,3075.5
ATG,AG,Antigua and Barbuda,17.0608,-61.7964,1232,32,1014,107160,2983,76408
ARG,AR,Argentina,-38.4161,-63.6167,2977363,63865,2634306,407024562.5,10040014.5,352055848
ARM,AM,Armenia,40.0691,45.0382,216064,4108,198135,36041564,644059,30995983.5
ABW,AW,Aruba,12.5211,-69.9683,10638,99,10368,1541860,13564.5,1400377
AUS,AU,Australia,-25,133,29811,910,23294,8563879.5,241588,6532073
AUT,AT,Austria,47.5162,14.5501,618870,10205,584777,79245077,1370298.5,71024440.5
AZE,AZ,Azerbaijan,40.1431,47.5769,319109,4517,289460,42675274.5,565622.5,37482478
BHS,BS,"Bahamas, The",25.025885,-78.035889,10453,199,9494,1812932.5,39411.5,1408828
BHR,BH,Bahrain,26.0275,50.55,176934,646,165928,27986468,102078,26160739
BGD,BD,Bangladesh,23.685,90.3563,759132,11450,681426,138503057,2012609,111834342
BRB,BB,Barbados,13.1939,-59.5432,3855,44,3768,358098.5,5258,307430
BLR,BY,Belarus,53.7098,27.9534,358738,2542,349013,54361560,409477,49681464.5
BEL,BE,Belgium,50.8333,4.469936,990229,24230,0,148683123.5,5565395,3797810
BLZ,BZ,Belize,17.1899,-88.4976,12668,323,12218,2023962,48007.5,1725987
BEN,BJ,Benin,9.3077,2.3158,7821,99,7580,1130440.5,16073.5,958397
BMU,BM,Bermuda,32.3078,-64.7505,2393,28,1820,174244.5,3901,133754
BTN,BT,Bhutan,27.5142,90.4336,1074,1,961,157983,112.5,139339.5
BOL,BO,Bolivia,-16.2902,-63.5887,303732,12951,250380,51571551,2589674.5,37857369
BIH,BA,Bosnia and Herzegovina,43.9159,17.6791,198461,8551,159223,25305202.5,927276.5,18726315.5
BWA,BW,Botswana,-22.3285,24.6849,46934,712,44960,4584950,45082,3733867
BRA,BR,Brazil,-14.235,-51.9253,14659011,403781,12991951,2194814080.5,59845924.5,1907830946.5
VGB,VG,British Virgin Islands,18.4207,-64.64,194,1,191,26896,376.5,22987.5
BRN,BN,Brunei Darussalam,4.5353,114.7277,224,3,215,64370,1055.5,59416.5
BGR,BG,Bulgaria,42.7339,25.4858,404380,16399,339534,44351199,1679849.5,31458131
BFA,BF,Burkina Faso,12.2383,-1.5616,13310,157,13043,1854447,31364.5,1643471.5
BDI,BI,Burundi,-3.3731,29.9189,3995,6,773,365468.5,721,174504.5
CPV,CV,Cabo Verde,16.5388,-23.0418,23882,217,20565,3129882,30523.5,2852778.5
KHM,KH,Cambodia,11.55,104.9167,13402,93,5152,320988,1383.5,183667
CMR,CM,Cameroon,3.848,11.5021,72250,1107,35261,9116035,163146.5,7493627.5
CAN,CA,Canada,60,-95,1228367,24220,1125237,154511768.5,4959776,135224078.5
CYM,KY,Cayman Islands,19.3133,-81.2546,543,2,526,106624.5,576,95750
CAF,CF,Central African Republic,6.6111,20.9394,6411,88,5112,1575481.5,19719,908385
TCD,TD,Chad,15.4542,18.7322,4817,170,4423,739470.5,36381,633926.5
CHL,CL,Channel Islands,49.3723,-2.3644,4055,86,3956,688449.5,22051,608344
CHN,CN,Chile,-35.6751,-71.543,1198245,26353,1129347,195451114.5,4900464.5,181452032.5
COL,CO,China,35.8617,104.19545,102494,4845,97175,40469056,1992236,36475045.5
COM,KM,Colombia,4.5709,-74.2973,2859724,73720,2669308,424073142,11599789,384010230
COG,CG,Comoros,-11.6455,43.3333,3834,146,3674,465808,15213,412297
CRI,CR,"Congo, Dem. Rep.",-4.0383,21.7587,29853,766,26219,5246612.5,142049,4168219.5
COD,CD,"Congo, Rep.",-0.228,15.8277,10678,144,8208,1953317,31623,1435211
CIV,CI,Costa Rica,9.7489,-83.7534,250991,3231,203009,39054694.5,505469.5,29441243.5
HRV,HR,Cote d'Ivoire,7.54,-5.5471,46036,286,45526,7877588,47740,7186373
CUB,CU,Croatia,45.1,15.2,332183,7081,310595,40279570.5,815076.5,37177352.5
CUW,CW,Cuba,21.521757,-77.781167,106707,644,100603,7478127.5,66147,6753943.5
CYP,CY,Curacao,12.1696,-68.99,12195,109,11612,967815.5,4888.5,749617
CZE,CZ,Cyprus,35.1264,33.4299,65233,308,39061,5665204.5,34914,1344584.5
DNK,DK,Czechia,49.8175,15.473,1630758,29267,1549439,189199973,3110314.5,161004621.5
DJI,DJ,Denmark,56.2639,9.5018,250554,2483,237757,34676480,441218.5,30961804.5
DMA,DM,Djibouti,11.8251,42.5903,11100,143,10708,2051030,21376.5,1891703
DOM,DO,Dominica,15.415,-61.371,174,0,172,25855,0,22967
ECU,EC,Dominican Republic,18.7357,-70.1627,266561,3480,226392,48836599.5,739695,37521626
EGY,EG,Ecuador,-1.8312,-78.1834,381862,18631,318598,62787587,3962113.5,51137056
SLV,SV,"Egypt, Arab Rep.",26.820553,30.802498,227552,13339,170773,42963340,2407890.5,32052793.5
GNQ,GQ,El Salvador,13.7942,-88.8965,69198,2124,64876,12520037,369203,10757605
ERI,ER,Equatorial Guinea,1.6508,10.2679,7694,112,7279,1685095,26598,1423511.5
EST,EE,Eritrea,15.1794,39.7823,3671,10,3492,409734.5,908,333732
SWZ,SZ,Estonia,58.5953,25.0136,122019,1161,111274,10105348.5,99030.5,7757866
ETH,ET,Eswatini,-26.5225,31.4659,18458,671,17743,2855110,87101.5,2386694.5
FLK,FK,Ethiopia,9.145,40.4897,257442,3688,198862,33565534,502278,24407620
FRO,FO,Falkland Islands,-51.7963,-59.5236,63,0,62,9658.5,0,8679
FJI,FJ,Faroe Islands,61.8926,-6.9118,664,1,662,173427,114.5,164943
FIN,FI,Fiji,-17.7134,178.065,117,2,65,15215.5,520,12890.5
FRA,FR,Finland,61.92411,25.748151,86808,914,46000,10454771,178562,7190672
GUF,GF,France,46.2276,2.2137,5571804,103815,305692,668652679,19423600.5,50583879
PYF,PF,French Guiana,3.9339,-53.1258,19264,100,9995,3788409,21186,2777992.5
GAB,GA,French Polynesia,-17.6797,149.4068,18758,141,4842,3204486,21417.5,996592
GMB,GM,Gabon,-0.8037,11.6094,23075,139,19629,3537190.5,22335.5,3031289.5
GEO,GE,"Gambia, The",13.4432,-15.3101,5898,174,5357,1075294,33886,884319.5
DEU,DE,Georgia,42.3154,43.3569,310310,4110,290767,41510875,501491,38599374.5
GHA,GH,Germany,51.165691,10.451526,3405365,83097,3008640,418607072.5,10828286.5,356785626
GIB,GI,Ghana,7.9465,-1.0232,92562,779,90196,18034706,122556.5,16900554
GRC,GR,Gibraltar,36.1408,-5.3536,4283,94,4185,603239.5,9486,545763.5
GRL,GL,Greece,39.0742,21.8243,345033,10381,93764,33480503.5,1045290.5,15610895
GRD,GD,Greenland,71.7069,-42.6043,31,0,31,7712.5,0,7389.5
GLP,GP,Grenada,12.1165,-61.679,160,1,158,26000,117.5,23606
GTM,GT,Guadeloupe,16.265,-61.551,13770,211,2242,2087854,34824.5,526485
GIN,GN,Guatemala,15.7835,-90.2308,227671,7524,202843,37687675.5,1335323,33189509.5
GNB,GW,Guinea,9.9456,-9.6966,22215,144,19670,4189652.5,25074,3727946
GUY,GY,Guinea-Bissau,11.8037,-15.1804,3734,67,3315,863218,13723.5,612990.5
HTI,HT,Guyana,4.860416,-58.93018,13283,296,11208,1624005.5,41195,1366807
VAT,VA,Haiti,18.9712,-72.2852,13056,254,12148,3136033,70216,2369232
HUN,HU,Honduras,15.2,-86.2419,212333,5281,78623,34496781.5,906178.5,13015971.5
ISL,IS,Hungary,47.1625,19.5033,779348,27540,510379,75448560,2446917,44201756.5
IND,IN,Iceland,64.9631,-19.0208,6472,29,6253,1535708,7139.5,1431375.5
IDN,ID,India,20.593684,78.96288,19164969,211853,15684406,2512656711.5,36472217.5,2289164752
IRN,IR,Indonesia,-0.7893,113.9213,1668368,45521,1522634,213921163,6355707.5,179375649
IRQ,IQ,"Iran, Islamic Rep.",32.427908,53.688046,2499077,71758,1954321,320502176.5,13492214,261886220.5
IRL,IE,Iraq,33.223191,43.679291,1065199,15465,942046,153848734.5,3262144.5,134537747
IMN,IM,Ireland,53.1424,-7.6921,248870,4903,23364,35496736,935394.5,8457676
ISR,IL,Isle of Man,54.2361,-4.5481,1587,29,1548,200798.5,9283.5,166488
ITA,IT,Israel,31.046051,34.851612,838481,6363,830625,128508662.5,986054.5,117481132.5
JAM,JM,Italy,41.87194,12.56738,4022653,120807,3465576,514598913.5,22349266.5,379335880
JPN,JP,Jamaica,18.1096,-77.2975,45578,778,21059,4383917,80442,2392707.5
JOR,JO,Japan,36.204824,138.252924,593264,10199,518891,69521505,1244741.5,60986605.5
