ISO_A3,ISO_A2,Country,Lat,Long,confirmed_31aou,deaths_31aou,recovered_31aou,AUC_confirmed,AUC_deaths,AUC_recovered
ATG,AG,Antigua and Barbuda,17.0608,-61.7964,94,3,91,7680,429.5,5378.5
ABW,AW,Aruba,12.5211,-69.9683,2006,10,768,44494,457,19251
BHS,BS,"Bahamas, The",25.025885,-78.035889,2217,50,801,54784.5,2020,15589.5
BRB,BB,Barbados,13.1939,-59.5432,174,7,146,15659,979.5,11471
BMU,BM,Bermuda,32.3078,-64.7505,172,9,155,20132,1195.5,15693.5
VGB,VG,British Virgin Islands,18.4207,-64.64,47,1,8,1331.5,134.5,860
CYM,KY,Cayman Islands,19.3133,-81.2546,205,1,202,22916.5,168.5,17889
CUB,CU,Cuba,21.521757,-77.78116700000002,4032,94,3378,327299,11213,263799
CUW,CW,Curacao,12.1696,-68.99,68,1,35,3681,165.5,2850.5
DMA,DM,Dominica,15.415,-61.371,20,0,18,2697,0,2280
DOM,DO,Dominican Republic,18.7357,-70.1627,94715,1710,68082,5347299.5,110011,2938522
GRD,GD,Grenada,12.1165,-61.678999999999995,24,0,24,3292,0,2656
GLP,GP,Guadeloupe,16.265,-61.551,1269,16,336,38585.5,1995,22800
HTI,HT,Haiti,18.9712,-72.2852,8224,201,5828,602053,13041.5,264982
JAM,JM,Jamaica,18.1096,-77.2975,2459,21,890,104543.5,1501.5,62844
MTQ,MQ,Martinique,14.6415,-61.0242,615,16,98,37791.5,2072,13570
KNA,KN,St. Kitts and Nevis,17.357822,-62.782998,17,0,17,2358.5,0,1865.5
LCA,LC,St. Lucia,13.9094,-60.9789,26,0,25,3110,0,2692.5
VCT,VC,St. Vincent and the Grenadines,12.9843,-61.2872,60,0,57,4730,0,3769.5
TTO,TT,Trinidad and Tobago,10.6918,-61.2225,1759,22,676,36737.5,1333,17542
TCA,TC,Turks and Caicos Islands,21.69400000000001,-71.7979,508,4,200,12330,217,3455
