confirmed_p_million,AUC_confirmed_pmillion,pop_desity,pop_urban
142,16936.3226941278,301,18.6
213,29257.2809925435,331,35.5
278,37463.0162103596,96,74.1
320,44339.3743420063,205,32.9
356,28896.4506256767,106,78.3
414,22431.4442413163,370,88.7
541,42632.968895058,284,52.9
605,54490.5366233893,668,31.2
721,52799.9348916596,414,56.9
830,35304.9023676862,273,55.4
960,78424.9652806143,223,26.2
1257,26250.6154023141,273,52.4
1554,44035.4532526375,202,52.4
1639,100706.167641533,,
2762,323286.175389013,1246,97.4
3119,348699.026171637,274,97.2
3171,96433.1324804375,,
5638,139312.85092359,39,86.1
8731,492933.888426741,225,84.5
13121,318456.531845653,41,89.3
18789,416743.157934174,593,46.3
