Country.Region,b,Asym,xmid,P(b),P(Asym),P(xmid),deviance,converged,nbiter
Afghanistan,0.03416033759788714,6255.938378507564,18388.642710293414,6.376503818714228e-40,2.3515063927115934e-17,2.6842883650140433e-270,14694.307377719279,1,15
Albania,0.050676867440414754,1007.8636911095672,18359.1083208279,5.483617817883628e-47,4.067265046584626e-49,8.47813664e-315,9729.88974758628,1,21
Algeria,0.06147389150808532,4660.184896816037,18361.755646299625,2.57003950909563e-51,3.1561355642440734e-54,0,144515.03072198157,1,22
Andorra,0.10625578194433793,775.6480655196772,18349.035960130816,3.992183672803863e-83,2.7652707768269925e-121,0,4075.3680300135106,1,21
Angola,0.09814750628380138,27.960347115672292,18354.242913170965,1.0049883377895476e-26,6.4844477961936e-50,0,78.57815067542542,1,11
Anguilla,0.4983311404556636,2.996293835720918,18348.878919670522,2.1138177704587344e-18,1.8079160695811897e-93,0,1.932764253391469,1,16
Antigua and Barbuda,0.1216125152011154,25.94937580499777,18351.911101382044,7.830836600611141e-31,6.286259275280407e-66,0,73.29320983347637,1,16
Argentina,0.05079032323918072,6064.460661212467,18364.690699823754,2.1117274322723404e-40,6.542988730639078e-37,6.350262994205022e-303,282404.4363583085,1,23
Armenia,0.054970231663255126,2258.7312573812274,18359.16416375032,2.978684720013898e-36,1.2233198267844509e-39,8.532842759440584e-307,96828.59035738264,1,24
Aruba,0.13082973389956684,102.77717982754801,18349.263320620852,2.192855417881477e-49,1.1014887558642164e-93,0,468.95895312547594,1,19
Australia,0.15042210134658107,6762.89768849907,18345.863027766107,3.1781043677062894e-80,4.840763742034446e-135,0,485129.11701581103,1,21
Austria,0.1281883307754966,15307.886933616379,18345.455484517555,4.951695296305083e-89,9.695884334197066e-139,0,1557906.8729589588,1,14
Azerbaijan,0.09448500035181437,1916.8658964867063,18358.300141587704,1.2357680108715334e-62,3.867174522415739e-82,0,30091.85683093787,1,29
"Bahamas, The",0.06415821054988967,103.97782444392814,18361.228317443234,5.065031908906852e-33,6.10359585277366e-37,1.548021984836366e-309,229.13229159989453,1,11
Bahrain,0.008761129650035119,1242636.12715066,18584.99167428837,1.1665698102784928e-4,0.5695876809851522,2.563115852155557e-127,295694.2342716358,0,50
Bangladesh,0.07738891282813706,16640.7010356281,18379.185084473727,5.703614805405317e-53,6.068546681340346e-32,2.213e-321,63917.02672398429,1,14
Barbados,0.12168046852543918,81.55150155030773,18349.449679261197,5.0023774680495126e-51,1.6170435372321163e-92,0,257.11522149423354,1,20
Belarus,0.05196952874807977,38961.48767543015,18383.781543606718,9.82850081966506e-25,1.821323619363511e-9,2.487321048309749e-268,1271715.7850417206,1,23
Belgium,0.0642506449306123,61995.57989873362,18359.380857071395,1.4977906695615724e-83,7.382859600132896e-91,0,6436839.594160522,1,14
Belize,0.16419997829065142,20.233669778738815,18358.13714119274,1.8295103834856435e-20,1.2766927141255711e-52,0,72.17929810257982,1,24
Benin,0.05992934754618543,85.546541259968,18363.553223324096,1.3987592388870506e-13,1.1568509231681448e-13,5.769826176899284e-273,514.9634456621471,1,12
Bermuda,0.04656949202968563,210.87406737465608,18369.041284381197,7.604909846253737e-18,1.0966669945679571e-12,3.175903837667227e-264,927.4106236509153,1,16
Bhutan,0.06500647874626395,7.026353175157254,18345.24160386596,2.2753488323196937e-16,4.2859917776495934e-33,8.077245255600955e-299,14.526977649686925,1,18
Bolivia,0.01792857711147077,38199.147822594605,18451.94111804386,1.4408199017141342e-12,0.08143000803122673,5.37564371156201e-190,11397.554883661176,1,31
Bosnia and Herzegovina,0.07158788891262917,1887.8420733170594,18357.76849371351,2.816795734954382e-83,1.2394735335828943e-95,0,7973.79954422829,1,19
Botswana,0.084407830438353107,30.66547759326813,18363.04305321281,3.321311570774793e-17,2.4996055391445816e-22,7.960455262560671e-300,65.73746816861126,1,17
Brazil,0.030342641448407717,408147.84029768885,18399.274315010265,4.850934610101387e-37,9.421455114981591e-12,5.147523791257576e-258,19383111.67299465,1,22
British Virgin Islands,0.09422058174347223,5.216650223718318,18352.877922828582,8.39404692420917e-9,1.7748631597106142e-22,2.243210138188661e-297,16.77980325197363,1,19
Brunei Darussalam,0.16180938990403734,138.55813444926548,18337.137662325706,2.5085904070591523e-61,8.514738335159696e-126,0,667.1871459299607,1,15
Bulgaria,0.03562933027170894,2563.4988290955866,18370.97256012614,1.736194522201639e-21,1.439884466880757e-13,4.681963687300803e-257,82888.63630553888,1,26
Burkina Faso,0.08186468109349115,722.7583276148805,18352.635500206427,8.17032450179926e-69,2.7022250230151842e-92,0,4522.147310289695,1,21
Myanmar,0.0516485329730002,489.55378010569143,18379.726980487452,2.7316465862729677e-13,9.330064092158285e-6,2.946522234377647e-251,1340.0774768471624,1,22
Burundi,0.013033832859017708,2792.4165385518013,18508.59411643086,0.21877437942053612,0.8472035150132778,2.341645864132583e-97,49.24917618705771,1,44
Cabo Verde,0.2769579848021636,89.1737671690491,18366.61388939738,3.6064421922618427e-12,1.1771543622755122e-36,0,1697.8069444531625,1,41
Cambodia,0.21897748547986975,120.27570813705066,18340.089004436468,1.1438117971103383e-47,1.2521284419474386e-117,0,882.4514147840846,1,18
Cameroon,0.07796849685495562,1742.2448578389137,18359.978692776484,1.647559867927352e-19,3.6983092368188e-27,7.905216322613236e-303,234999.53340189255,1,15
Canada,0.05281794103456274,83775.0299409821,18367.706879220284,2.136553353206496e-61,1.7801495974595338e-54,0,11843570.329562869,1,13
Cayman Islands,0.10993718573803521,74.90375479855923,18354.907501356534,3.911467640665748e-40,9.047991479324766e-69,0,253.84775177166335,1,13
Central African Republic,0.0380900350301649,34.947754981636216,18370.757989776568,1.5159082984193785e-10,1.8788648064335453e-6,3.221023731448258e-238,46.375418070768475,1,22
Chad,0.03790653560778513,167.38387177304648,18385.215982591406,6.646929347137006e-9,0.002556078790522888,1.2581690654742695e-224,183.15149210820812,1,14
Channel Islands,0.12039840698014372,554.1443655249313,18353.597785667993,7.519114189611959e-64,1.1682794273339578e-99,0,4542.412041952715,1,15
Chile,0.05348818702904877,21745.736869411936,18365.85658181784,1.0511544224933087e-74,4.858741235598085e-70,0,510272.6135685434,1,26
China,0.14419912720670594,82639.80488653039,18297.821619740833,4.0197959367549323e-56,1.2421941377094588e-135,0,448208309.05474627,1,8
