"ISO_A3","Country","AUC_confirmed","AUC_deaths","AUC_recovered","AUC_confirmed_pmillion","AUC_deaths_pmillion","AUC_recovered_pmillion","date_first_cases","days_since_first_cases","AUC_SI","date_SI_sup0","date_SI_sup50","date_SI_max","SI_max","residential_change","residential_date_split","mobility_change_index","mobility_change_index_date_split"
"ABW","Aruba",2922,30,30,27368.2633047974,280.988329618043,280.988329618043,"2020-03-13",48,3223.57,2,16,36,86.24,26.15625,4,61.0244717334637,4
"AFG","Afghanistan",27376.5,857,857,703.253704030182,22.0148092105954,22.0148092105954,"2020-02-24",66,3242.035,6,30,48,76.33,11.624649859944,32,35.6781512605042,32
"AGO","Angola",635.5,65,65,19.3359343385139,1.97771161605571,1.97771161605571,"2020-03-20",41,3629.855,-43,7,7,93.38,23.5444444444444,1,47.0482960714668,1
"AIA","Anguilla",95.5,0,0,6365.81789094787,0,0,"2020-03-28",33,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ALB","Albania",17477.5,803.5,803.5,6073.21565084439,279.206338174995,279.206338174995,"2020-03-09",52,4362.55,-13,2,40,88.36,"NA","NA","NA","NA"
"AND","Andorra",21520.5,935,935,278528.441079402,12101.2101210121,12101.2101210121,"2020-03-02",59,2487.74,11,23,37,61.77,"NA","NA","NA","NA"
"ARE","United Arab Emirates",175378.5,1149.5,1149.5,17732.1948556176,116.223812990375,116.223812990375,"2020-01-29",92,4188.735,-6,54,66,91.54,23.6578947368421,54,57.719672913481,54
"ARG","Argentina",81891,3531,3531,1811.91707357968,78.1267683482906,78.1267683482906,"2020-03-03",58,4931.085,-40,16,20,100,24.8305322128852,16,69.5477001274606,16
"ARM","Armenia",39577,523,523,13356.0157584585,176.496354995927,176.496354995927,"2020-03-01",60,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
"ATG","Antigua and Barbuda",666,60.5,60.5,6800.91495792827,617.800833265256,617.800833265256,"2020-03-13",48,"NA","NA","NA","NA","NA",18.0714285714286,5,60.3545963653253,16.5
