,Rigid,Height.min..cm.,Height.max..cm.,Simple.leaflets,Composed.leaflets,arrowhead.shape,ovate.shape,oblong.shape,elliptique.shape,rounded.shape,lanceolate.shape,palmatipartite.shape,linear.shape,Smooth.area,Hairy.area,Opposite.disposition,webbed,oblique.base,attenuated.base,obtuse.base,round.base,cuneiform.base,auriculate.base,obtuse.apex,mucronate.apex,cusp.apex,rounded.apex,attenuated.apex,apiculate.apex,acuminate.apex,accute.apex,pedaled.nervation,curvinave.nervation,united.nerved.nervation,parallel.nervation,alternate.nervation,pinnate.nervation,Lenght.min..cm.,Lenght.max..cm.,thorny.border,entire.border,toothed.border,lobed.border,Petiole.min..mm.,Petiole.max..mm.,sub.sessile.petiole,clasping.petiole,petiolate,sheathing.petiole,Flowers,Colleto
Alocasia macrorrhiza,yes,45,200,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,45,150,no,no,no,yes,1000,1500,no,no,no,yes,yes,Cg
Bidens alba,yes,0,100,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,6,17,no,no,yes,no,10,40,no,no,yes,no,yes,Cg
Calopogonium mucunoides,no,0,0,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,2,16,no,yes,no,no,20,160,no,no,yes,no,yes,N
Canavalia,no,0,0,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,4,20,no,yes,no,no,50,170,no,no,yes,no,yes,N
Cleome rutidosperma,no,0,90,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,3,4,no,yes,no,no,5,40,no,no,yes,no,yes,Cg
Commelina diffusa,no,0,0,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,2,8,no,yes,no,no,0,0,no,no,no,yes,yes,Cg
Crotalaria retusa,yes,30,120,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,3,10,no,yes,no,no,2,5,no,no,yes,no,yes,N
Datura stramonium,yes,30,150,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,6,18,no,no,no,yes,20,50,no,no,yes,no,yes,Cg
Emilia fosbergii,yes,20,60,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,5,8,no,no,yes,no,0,0,no,no,no,no,yes,Cg/Ct
Erechtites hieracifolia,yes,30,100,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,3,18,no,no,yes,no,0,0,no,no,no,no,no,Cg/Ct
Euphorbia heterophylla,yes,30,100,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,4,10,no,no,yes,no,0,0,no,no,no,no,yes,Cg
Euphorbia hirta (cyathophora) ou Chamaesyce Hirta,no,10,40,yes,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,0.5,4,no,no,yes,no,1,2,no,no,yes,no,yes,Cg/Ct
