"date"	"échantillon"	"variété"	"concentration"	"m"	"e"	"cv"	"solvant"	"S_sur_V"	"durée"	"température"	"traitement"
"5/19/2021"	4	"Oriental"	929.72				"ethanol_60"	4	15	40	"effet_température_durée"
"5/19/2021"	5	"Oriental"	1098.39				"ethanol_60"	4	15	40	"effet_température_durée"
"5/19/2021"	6	"Oriental"	1058.23	1028.78	88.11	"9%"	"ethanol_60"	4	15	40	"effet_température_durée"
"5/19/2021"	13	"Oriental"	1006.99				"ethanol_60"	4	30	40	"effet_température_durée"
"5/19/2021"	14	"Oriental"	1095.62				"ethanol_60"	4	30	40	"effet_température_durée"
"5/19/2021"	15	"Oriental"	1046.28	1049.63	44.41	"4%"	"ethanol_60"	4	30	40	"effet_température_durée"
"5/19/2021"	22	"Oriental"	1153.46				"ethanol_60"	4	45	40	"effet_température_durée"
"5/19/2021"	23	"Oriental"	1121.76				"ethanol_60"	4	45	40	"effet_température_durée"
"5/19/2021"	24	"Oriental"	1065.87	1113.7	44.35	"4%"	"ethanol_60"	4	45	40	"effet_température_durée"
"5/19/2021"	31	"Oriental"	1166.17				"ethanol_60"	4	60	40	"effet_température_durée"
"5/19/2021"	32	"Oriental"	1299.5				"ethanol_60"	4	60	40	"effet_température_durée"
"5/19/2021"	33	"Oriental"	1121.51	1195.73	92.6	"8%"	"ethanol_60"	4	60	40	"effet_température_durée"
"5/18/2021"	4	"Oriental"	988				"ethanol_60"	4	15	60	"effet_température_durée"
"5/18/2021"	5	"Oriental"	1028				"ethanol_60"	4	15	60	"effet_température_durée"
"5/18/2021"	6	"Oriental"	1042.96	1019.65	28.41	"3%"	"ethanol_60"	4	15	60	"effet_température_durée"
"5/18/2021"	13	"Oriental"	1035.11				"ethanol_60"	4	30	60	"effet_température_durée"
"5/18/2021"	14	"Oriental"	1055.17				"ethanol_60"	4	30	60	"effet_température_durée"
"5/18/2021"	15	"Oriental"	1087.26	1059.18	26.31	"2%"	"ethanol_60"	4	30	60	"effet_température_durée"
"5/18/2021"	22	"Oriental"	1042.79				"ethanol_60"	4	45	60	"effet_température_durée"
"5/18/2021"	23	"Oriental"	1022.89				"ethanol_60"	4	45	60	"effet_température_durée"
"5/18/2021"	24	"Oriental"	1062.69	1042.79	19.9	"2%"	"ethanol_60"	4	45	60	"effet_température_durée"
"5/18/2021"	31	"Oriental"	1105.11				"ethanol_60"	4	60	60	"effet_température_durée"
"5/18/2021"	32	"Oriental"	1154.23				"ethanol_60"	4	60	60	"effet_température_durée"
"5/18/2021"	33	"Oriental"	1213.21	1157.52	54.13	"5%"	"ethanol_60"	4	60	60	"effet_température_durée"
"5/19/2021"	4	"Oriental"	1130.61				"ethanol_60"	4	15	80	"effet_température_durée"
"5/19/2021"	5	"Oriental"	1058.71				"ethanol_60"	4	15	80	"effet_température_durée"
"5/19/2021"	6	"Oriental"	1134.54	1107.95	42.69	"4%"	"ethanol_60"	4	15	80	"effet_température_durée"
"5/19/2021"	13	"Oriental"	1272.36				"ethanol_60"	4	30	80	"effet_température_durée"
"5/19/2021"	14	"Oriental"	1282.41				"ethanol_60"	4	30	80	"effet_température_durée"
"5/19/2021"	15	"Oriental"	1277.67	1277.48	5.03	"0%"	"ethanol_60"	4	30	80	"effet_température_durée"
"5/19/2021"	22	"Oriental"	1182.45				"ethanol_60"	4	45	80	"effet_température_durée"
"5/19/2021"	23	"Oriental"	1128.61				"ethanol_60"	4	45	80	"effet_température_durée"
"5/19/2021"	24	"Oriental"	1186.44	1165.84	32.3	"3%"	"ethanol_60"	4	45	80	"effet_température_durée"
"5/19/2021"	31	"Oriental"	1223.67				"ethanol_60"	4	60	80	"effet_température_durée"
"5/19/2021"	32	"Oriental"	1279.68				"ethanol_60"	4	60	80	"effet_température_durée"
"5/19/2021"	33	"Oriental"	1183.92	1229.09	48.11	"4%"	"ethanol_60"	4	60	80	"effet_température_durée"
"6/1/2021"	4	"Oriental"	842				"eau"	4	30	60	"effet_solvant"
"6/1/2021"	5	"Oriental"	766				"eau"	4	30	60	"effet_solvant"
"6/1/2021"	6	"Oriental"	744.51	784.17	51.22	"7%"	"eau"	4	30	60	"effet_solvant"
"6/1/2021"	13	"Oriental"	944				"ethanol_20"	4	30	60	"effet_solvant"
"6/1/2021"	14	"Oriental"	1106.68				"ethanol_20"	4	30	60	"effet_solvant"
"6/1/2021"	15	"Oriental"	901.3	983.99	108.38	"11%"	"ethanol_20"	4	30	60	"effet_solvant"
"6/1/2021"	22	"Oriental"	946.11				"ethanol_40"	4	30	60	"effet_solvant"
"6/1/2021"	23	"Oriental"	820.36				"ethanol_40"	4	30	60	"effet_solvant"
"6/1/2021"	24	"Oriental"	949.8	905.42	73.69	"8%"	"ethanol_40"	4	30	60	"effet_solvant"
"6/1/2021"	31	"Oriental"	938.12				"ethanol_60"	4	30	60	"effet_solvant"
"6/1/2021"	32	"Oriental"	1030.85				"ethanol_60"	4	30	60	"effet_solvant"
"6/1/2021"	33	"Oriental"	1035.93	1001.63	55.06	"5%"	"ethanol_60"	4	30	60	"effet_solvant"
"6/1/2021"	31	"Oriental"	746				"ethanol_80"	4	30	60	"effet_solvant"
"6/1/2021"	32	"Oriental"	844				"ethanol_80"	4	30	60	"effet_solvant"
"6/1/2021"	33	"Oriental"	744	778	57.17	"7%"	"ethanol_80"	4	30	60	"effet_solvant"
"6/3/2021"	4	"Oriental"	545.32				"ethanol_20"	1	30	60	"effet_S_sur_V"
"6/3/2021"	5	"Oriental"	506.01				"ethanol_20"	1	30	60	"effet_S_sur_V"
"6/3/2021"	6	"Oriental"	772.27	607.87	143.73	"24%"	"ethanol_20"	1	30	60	"effet_S_sur_V"
"6/3/2021"	13	"Oriental"	602				"ethanol_20"	2	30	60	"effet_S_sur_V"
"6/3/2021"	14	"Oriental"	800.8				"ethanol_20"	2	30	60	"effet_S_sur_V"
"6/3/2021"	15	"Oriental"	820.82	741.21	120.97	"16%"	"ethanol_20"	2	30	60	"effet_S_sur_V"
"6/3/2021"	22	"Oriental"	723.78				"ethanol_20"	3	30	60	"effet_S_sur_V"
"6/3/2021"	23	"Oriental"	1191.57				"ethanol_20"	3	30	60	"effet_S_sur_V"
"6/3/2021"	24	"Oriental"	1250.75	1055.37	288.68	"27%"	"ethanol_20"	3	30	60	"effet_S_sur_V"
"6/3/2021"	31	"Oriental"	1399.2				"ethanol_20"	4	30	60	"effet_S_sur_V"
"6/3/2021"	32	"Oriental"	1445.11				"ethanol_20"	4	30	60	"effet_S_sur_V"
"6/3/2021"	33	"Oriental"	1455.82	1433.38	30.08	"2%"	"ethanol_20"	4	30	60	"effet_S_sur_V"
"6/3/2021"	31	"Oriental"	1589.32				"ethanol_20"	5	30	60	"effet_S_sur_V"
"6/3/2021"	32	"Oriental"	1718.91				"ethanol_20"	5	30	60	"effet_S_sur_V"
"6/3/2021"	33	"Oriental"	1609.28	1639.17	69.77	"4%"	"ethanol_20"	5	30	60	"effet_S_sur_V"
"6/3/2021"	31	"Oriental"	1894.58				"ethanol_20"	6	30	60	"effet_S_sur_V"
"6/3/2021"	32	"Oriental"	1957.83				"ethanol_20"	6	30	60	"effet_S_sur_V"
"6/3/2021"	33	"Oriental"	1831.33	1894.58	63.25	"3%"	"ethanol_20"	6	30	60	"effet_S_sur_V"
"6/3/2021"	31	"Oriental"	1274.95				"ethanol_20"	7	30	60	"effet_S_sur_V"
"6/3/2021"	32	"Oriental"	1202.91				"ethanol_20"	7	30	60	"effet_S_sur_V"
"6/3/2021"	33	"Oriental"	1434.37	1304.07	118.45	"9%"	"ethanol_20"	7	30	60	"effet_S_sur_V"
"6/3/2021"	31	"Oriental"	1377.38				"ethanol_20"	8	30	60	"effet_S_sur_V"
"6/3/2021"	32	"Oriental"	1417.42				"ethanol_20"	8	30	60	"effet_S_sur_V"
"6/3/2021"	33	"Oriental"	1230.77	1341.85	98.26	"7%"	"ethanol_20"	8	30	60	"effet_S_sur_V"
"6/4/2021"	31	"Oriental"	1345.5				"ethanol_20"	9	30	60	"effet_S_sur_V"
"6/4/2021"	32	"Oriental"	1371.13				"ethanol_20"	9	30	60	"effet_S_sur_V"
"6/4/2021"	33	"Oriental"	1240.76	1319.13	69.07	"5%"	"ethanol_20"	9	30	60	"effet_S_sur_V"
"6/4/2021"	31	"Oriental"	1356.36				"ethanol_20"	10	30	60	"effet_S_sur_V"
"6/4/2021"	32	"Oriental"	1349.05				"ethanol_20"	10	30	60	"effet_S_sur_V"
"6/4/2021"	33	"Oriental"	1307.39	1337.6	26.42	"2%"	"ethanol_20"	10	30	60	"effet_S_sur_V"
